02_03_01_Entity Name,03_01_04_Date(s) Breach Occurred (start),Completed Date,03_01_02_Total number of Maine residents affected,03_01_01_Total number of persons affected (including Maine residents)
"Kline Keppel and Koryak, P.C.",10/26/2019,8/13/2020,91,13290
Michigan State University,October 19 2019 ,8/13/2020,2,2637
Medical College of Wisconsin,March 22 2019,8/14/2019,1,995
Filson,May 22 2019 ,8/14/2019,1,14
"State of Maine, Maine Revenue Services",June 6 2019,8/14/2019,1,1
The Jackson Laboratory,02/07/2020 ,8/14/2020,8,110
Metropolitan Community College of Kansas City,March 10 2020,8/14/2020,11,638186
"Cantex, Inc.",5/5/2020,8/14/2020,2,5372
"New York City Ballet, Inc.",4/1/2020,8/14/2020,1,2224
Filters Fast LLC,July 19 2019,8/14/2020,1177,323000
Edinboro Unversity Student Government Association,July 15 2019,8/15/2019,1,362
University of Detroit Mercy,February 7 2020 ,8/15/2020,24,34675
Georgia Institute of Technology,12/14/2018,8/16/2019,1077,1259325
"Niche.com, Inc.",7/24/2019,8/16/2019,16,5853
Robert Wilson & Company Inc.,February 8 2019,8/16/2019,3,102
"Gorman Brothers, Inc.",2/7/2019 ,8/17/2019,1,307
"Dynasplint Systems, Inc.",04/29/2020 ,8/17/2020,102800,510
NAFSA: Association of International Educators,April 8 2020,8/18/2020,1,658
"Mario's Express Service, Inc. d/b/a MX Logistics",May 21 2020,8/18/2020,1,200
de Toledo High School,May 1 2020,8/18/2020,1,124
University of New England,11/05/2018,8/19/2019,17,51
"Borough of Fair Lawn, NJ",12/4/2018 ,8/19/2019,2,3585
"Pelican Products, Inc.",6/28/2019 ,8/19/2019,4,1284
Seeds of Peace,5/20/2020,8/19/2020,64,222
"Stockpile, Inc.",4/17/2020,8/19/2020,42,14500
Humana Inc.,July 26 2020 ,8/19/2020,2,564
Presbyterian Healthcare Services,05/09/2019,8/2/2019,5,22318
National Baseball Hall of Fame and Museum (“Hall of Fame”),November 15 2018 ,8/2/2019,25,5746
Mount Sinai Health System,08/01/2018 ,8/2/2019,4,10996
Steel Partners Holdings L.P.,04/18/2020,8/2/2020,16,23969
Alight Solutions LLC,9/22/2014 ,8/20/2019,38,19379
"Espresso Parts, LLC",06/04/2019 ,8/20/2019,5,763
"Dave, Inc.",June 23 2020 ,8/20/2020,4175,7500000
Pharmaca Intergratice Pharmacy,10/18/2017,8/21/2019,16,3966
Trusted Tours of America LLC,3/1/2019,8/21/2019,5,1664
"Cornerstone, Inc.",June 26 2019 ,8/21/2019,1,7213
Heifer Project International,05/14/2020,8/21/2020,3226,474532
Energy One Federal Credit Union,06/04/2020,8/21/2020,3,17865
"Art Resource, Inc. & Artists Rights Society",March 8 2020,8/21/2020,2,388
"Valmark Financial Group, LLC",03/31/2020 ,8/21/2020,2,74
"Cetera Financial Group, Inc.",04/06/2020,8/21/2020,235,109347
Concord Academy,2/7/2020,8/21/2020,3,325
Buca Di Beppo,4/16/2018,8/22/2019,1,596
"Eye Safety Systems, Inc. (ESS)",11/21/2017,8/22/2019,31,7666
"ArbiterSports, LLC",06/03/2020 ,8/24/2020,2088,539309
"VT San Antonio Aerospace, Inc.",May 10 2020,8/24/2020,6,4392
"Ameriprise Financial, Inc.",8/12/2020,8/24/2020,10,310
Westcor Land Title Insurance Company,1/10/2020 ,8/25/2020,26,76067
HUD Federal Credit Union (“HUD”),12/06/2019,8/25/2020,4,5671
"Sedgwick Claims Management Services, Inc.",07/31/2020,8/25/2020,2,256
Calibre CPA Group,3/11/2019 ,8/26/2019,3,1801
"Creation Entertainment, Inc.",February 1 2018 ,8/26/2019,93,57078
NTCA-The Rural Broadband Association,April 3 2019,8/26/2019,46,25365
"Combe, Inc.",03/02/2020 ,8/26/2020,18,6504
"Ultrafabrics, Inc.",03/24/2020 ,8/26/2020,1,189
"Jasper Seating Company, Inc.",3/8/2020,8/26/2020,16,4797
"Mobius Executive Leadership, LLC",02/04/2019 ,8/27/2019,1,124
Connecticut Laborers' Fund Office,05/09/2019,8/27/2019,3,1567
"Amphastar Pharmaceuticals, Inc.",May 2 2020,8/28/2020,1,2193
The Jane Goodall Institute,05/01/2020,8/28/2020,525,110642
PULAU Corporation (“PULAU”),06/11/2020,8/28/2020,13,2921
The Deck Store,March 16 2020 ,8/28/2020,30,4459
Bridgewater State University,02/01/2020,8/28/2020,274,32452
"Utah Pathology Services, Inc.",6/24/2020,8/28/2020,4,112124
Mandel Metals,November 27 2019 ,8/28/2020,2,147
Williams Hart Boundas Easterby LLP,05/12/2020,8/28/2020,34,35000
"Full House Resorts, Inc.",03/25/2020 ,8/28/2020,2,5049
"AliMed, inc.",June 1 2019 ,8/28/2020,29823,412
"Fedcap Rehabilitation Services, Inc.",September 20 2019 ,8/29/2019,26,5097
Foxit Software,unknown,8/29/2019,unknown,320000
"Communities Connected for Kids, Inc",08/01/2019 ,8/29/2019,30,149114
Deluxe Corporation,8/13/2019,8/29/2019,1,153
"Homeside Financial, LLC",03/27/2019 ,8/29/2019,1,28446
Glacier Medical Group,3/16/2020,8/29/2020,1,1538
"Wurkforce, Inc.",November 22 2019 ,8/3/2020,24,4761
"Market Data Insights, LLC (“MDI”)",03/31/2020 ,8/3/2020,1,31
"Carl's Golfland, Inc.",March 25 2019 ,8/30/2019,84,24772
Edinboro University Student Government Association,7/15/2019,8/30/2019,1,362
Cottingham & Butler Claims Services,April 10 2019 ,8/30/2019,2,434
"Ferris Marketing, Inc.",11/01/2019 ,8/31/2020,39,11442
"The City of Sunrise, Florida",04/10/2020,8/31/2020,1,21924
SUNY New Paltz Foundation,May 1 2020,8/31/2020,1,564
"POWER Engineers, Inc.",12/19/2019 ,8/4/2020,115,3406
"Jofit, LLC",01/18/2019 ,8/5/2019,7,4358
Weichert Companies,November 5 2017 ,8/5/2019,4,6427
"Peabody Properties, Inc.",11/14/2019 ,8/5/2020,9,5306
EDP Renewables North America LLC,04/13/2020,8/5/2020,40,4995
"Doylestown Hospital and Doylestown Health Physicians (""Doylestown"")",2/19/2020,8/5/2020,1,5210
"Olsson, Inc.",7/19/2019,8/6/2019,1,3949
AAR CORP.,03/10/2019,8/6/2019,2,4431
"Vitagene, Inc.",Unknown,8/6/2019,8,1980
trwertwertwert,tgerstert,8/6/2019,545234,45351234
TBI Mortgage Company,Unknown,8/6/2019,4,11696
The Ounce of Prevention Fund,08/29/2019,8/6/2020,3,23420
The Connection Inc.,01/04/2020,8/6/2020,2,3754
"GWB, LLC dba Grand Western",2/25/2020 ,8/6/2020,4,1575
"Ameriprise Financial, Inc.",July 31 2020,8/6/2020,2,2
KeyBank N.A.,4/24/2019 ,8/7/2019,4,89
American Seating Company,01/29/2020,8/7/2020,1,2020
"Behavioral Health Network, Inc.",5/26/2020,8/7/2020,87,132790
St. John's Preparatory School,2/7/2020,8/7/2020,5,570
St. Croix Hospice,04/23/2019,8/8/2019,2,19724
"Cable One, Inc.",3/1/2019 ,8/8/2019,1,7375
Catholic Charities New Hampshire,June 10 2019,8/8/2019,1,16
Ivy Tech Foundation,02/07/2020,9/1/2020,2,860
New York Legal Assistance Group,11/19/2019 ,9/1/2020,1,14868
"American Payroll Institute, Inc. (APA); Global Payroll Management Institute, Inc. (GPMI)",May 13 2020,9/1/2020,81,20754
"Bok Tower Gardens, Inc.",5/20/2020,9/10/2020,6,565
Northeastern Star Asset Management,April 29 2019 ,9/11/2019,2,627
Cornerstone Building Brands Inc.,April 1 2019 ,9/11/2019,3,11185
Capital One,March 22 2019 ,9/11/2019,1213,193741
City Furniture Inc.,5/14/2019 ,9/11/2019,1,2199
Stanwich Mortgage Loan Trust,2/1/2018,9/11/2019,8,58794
Community Food Co-Op,03/16/2020,9/11/2020,1,60
Amateur Athletic Union,October 1 2018,9/13/2019,386,287661
Central Maine Healthcare,2/1/2019,9/13/2019,204,215
Riggs Wealth Management,6/14/2019 ,9/13/2019,2,1314
Securities Training Corporation,April 16 2019 ,9/13/2019,3,994
"Independent Pet Partners Holding, LLC",October 1 2018 ,9/16/2019,151,1215
Community Healthlink,April 18 2019,9/16/2019,1,12522
Steiber & Schopick,Unknown when it first occurred.  The forwarding rule pre,9/17/2019,2,215
Sarrell Dental,7/14/2019,9/17/2019,4,391472
SNC-Lavalin Inc.,August 19 2019,9/18/2019,26,5000
"Equian, LLC",04/10/2019,9/19/2019,1,1854
"Nutranext, LLC",May 27 2020,9/2/2020,121,19443
"First Pacific Advisors, LP",May 2 2020 ,9/2/2020,1,554
Covestro LLC,April 1 2019,9/23/2019,1,2780
Backcountry Edge,9/15/2018,9/24/2019,1,213
Jewish Community Federation,9/12/2018,9/24/2019,1,1127
World Learning Inc.,September 3 2019,9/24/2019,4,218
"’47 Brand, LLC and Twins Retail, LLC",4/30/2019,9/25/2019,11,1800
"DoorDash, Inc.",05/04/2019,9/26/2019,35,117866
Children’s Hope Alliance,4/23/2019 ,9/26/2019,3,10744
"DoorDash, Inc.",05/04/2019,9/27/2019,35,100247
Wise Health System,March 14 2019,9/27/2019,1,60154
City of Charlottesville,03/19/2019,9/27/2019,8,10549
John Lucas Tree Expert Co.,08/27/2018,9/27/2019,45,116
Sekure Merchant Solutions,01/24/2020 ,9/3/2020,128,20403
Atlantic States Management,06/01/2020,9/3/2020,2,1224
"Osmose Utilities Services, Inc.",07/06/2020 ,9/3/2020,545,58990
Texell Credit Union,5/14/2020,9/3/2020,6,62385
Simon Greenstone Panatier PC,4/29/2020 ,9/3/2020,477,1
Integrity Wealth Management,04/16/2020,9/3/2020,2,6188
Wall Street Greetings,07/30/2019 ,9/4/2019,2,412
"Advantage Capital Funding, LLC",02/06/2020 ,9/4/2020,7,9399
"Artech, L.L.C.",01/05/2020,9/4/2020,15,30721
The Japan America Society of Greater Philadelphia,Unknown,9/4/2020,1,8658
Vermont Student Assistance Corporation,02/07/2020 ,9/4/2020,566,19754
Blackhawk Network Holdings Inc.,08/08/2020,9/4/2020,2,647
Peirce College,February 13 2020 ,9/4/2020,3,25742
Southern Adventist University,February 7 2020 ,9/4/2020,1,2209
"Starling Physicians, PC",05/27/2020,9/4/2020,7,7777
The Bush School,02/07/2020 ,9/4/2020,1,25
"Interactive Data, LLC",7/23/2020 ,9/4/2020,3,1488
CafePress Inc.,February 19 2019,9/5/2019,82253,22000000
South Eastern Pennsylvania Transportation Authority (SEPTA),06/21/2019 ,9/5/2019,2,761
Perez Art Museum Miami (PAMM),February 7 2020 ,9/5/2020,2,3127
Promo.com Ltd.,June 22 2020 ,9/5/2020,1313,2600000
Polydeck Screen Corporation,August 17 2019,9/6/2019,1,646
Friedlander Misler PLLC,8/5/2019,9/6/2019,1,119
Ixonia Bank,5/5/2020 ,9/8/2020,8,228
"MYR Group, Inc.",05/05/2020,9/8/2020,2,844
"Ameriprise Financial, Inc.",8/17/2020,9/8/2020,2,387
Brixmor Property Group,5/26/2019,9/9/2019,1,263
Woodforest National Bank,02/27/2019,9/9/2019,4,18753
"LiveAuctioneers, LLC",06/19/2020,9/9/2020,9555,3463544
"Diesel Direct, Inc.",7/12/2020 ,9/9/2020,8,231
SalonBiz,5/29/2020,9/9/2020,8,941
