Name of Company or Organization,Date of Notification,Date of the Breach,IN Affected,Total Affected
WithumSmithBrownPC‐DataBreach,4/25/2018,3/28/2018,3,228
Respondent,Notification Sent Breach Occurred IN Affected Total Affected,,,
WoodlawnHospital‐DataBreach,,,,
WorldTravelHoldingsInc‐DataBreach,4/16/2018,10/1/2017,17,"1,511"
WWGraingerInc‐DataBreach,4/18/2018,9/26/2017,371,"17,902"
WyndhamVacationResortsInc‐DataBreach,11/15/2018,9/17/2018,4,26
XCommerceIncdbaMagentoInc‐DataBreach,,,,
XPOLogisticsInc‐DataBreach,4/2/2018,2/16/2018,1,14
YaleUniversity‐DataBreach,7/26/2018,4/1/2008,555,"119,000"
YRCWorldwideInc‐DataBreach,9/21/2018,7/24/2018,938,"19,635"
ZenithAmericanSolutions‐DataBreach,3/21/2018,1/24/2018,1,1
ZimmerUSIncdbaZimmerBiomet‐DataBreach,6/11/2018,5/24/2018,54,81
ZRSManagementInc‐DataBreach,5/16/2018,3/1/2018,5,423
zumBrunnen‐DataBreach,12/28/2018,8/7/2018,1,60
ZurichAmericanInsuranceCompany‐DataBreach,9/1/2018,9/1/2013,1,789
Respondent,Notification Sent Breached Occurred,,IN Affected Total Affected,
47 BrandLLCandTwinsRetailLLC‐DataBreach,8/30/2019,4/30/2019,26,"1,800"
AandAGlobalImportsInc‐DataBreach,1/9/2019,8/15/2017,553,"52,441"
ATCrossCompany‐DataBreach,6/26/2019,5/9/2019,18,"1,248"
AARCorp‐DataBreach,8/6/2019,3/10/2019,556,"4,431"
AbbottLaboratories‐DataBreach,2/6/2019,1/19/2019,88,"16,600"
AbelHR‐DataBreach,4/25/2019,11/11/2018,6,2637
ABMIndustriesIncorporated‐DataBreach,3/12/2019,1/8/2018,652,"42,366"
AboundWealth‐DataBreach,1/28/2019,12/23/2018,2,292
AccurateWordLLC‐DataBreach,8/16/2019,8/16/2019,6,2518
AcrisureHeritageInsuranceAgencyLLCdbaTheHeritageCompanies‐DataBreach,4/10/2019,9/20/2018,3,2286
AcrisureLLCdbaFiliceInsuranceAgency‐DataBreach,5/31/2019,4/3/2019,20,"30,821"
AcuityAMutualInsuranceCompany‐DataBreach,3/20/2019,2/11/2019,3,221
AdenaHealthSystem‐DataBreach,12/31/2018,5/8/2018,3,1717
AdvocateAuroraHealthIncdbaAdvoateChristMedicalCenter‐DataBreach,4/25/2019,4/19/2019,4,51
AdvocateShermanHospital‐DataBreach,3/8/2019,5/8/2018,18,"5,868"
AegisMedicalGroup‐DataBreach,11/8/2019,7/24/2019,5,"9,800"
AeroGrowInternationalInc‐DataBreach,4/5/2019,10/29/2018,424,"27,488"
AetnaInc‐DataBreach,1/30/2019,6/1/2018,2,"2,334"
AetnaLifeInsuranceCompany‐DataBreach,5/17/2019,3/1/2019,1,189
AetrexWorldwideInc‐DataBreach,1/17/2019,6/22/2018,206,"14,291"
AGSourceInc‐DataBreach,3/22/2019,12/22/2018,6,233
AimbridgeHospitalityHoldingsLLC‐DataBreach,12/31/2018,6/7/2018,1989,"120,573"
Aires‐DataBreach,8/1/2019,10/10/2018,20,"2,002"
AisinHoldingsofAmericaInc‐DataBreach,5/24/2019,5/31/2018,"3,403","9,046"
AkinDohertyKleinandFeugePC‐DataBreach,5/14/2019,2/8/2019,10,4007
AkunaCapitalLLC‐DataBreach,10/10/2019,7/25/2019,2,409
AlanaHealthcare‐DataBreach,4/12/2019,12/26/2018,2,2685
AlightSolutionsLLC‐DataBreach,8/26/2019,9/22/2014,105,"19,379"
AllConnectInc‐DataBreach,8/13/2019,,1,8
AllenCommunityCollege‐DataBreach,9/17/2019,7/30/2019,1,"1,822"
AllstateInsuranceCompany‐DataBreach,4/10/2019,12/21/2017,7,55
ALMMediaLLC‐DataBreach,1/23/2019,7/7/2018,17,933
AmateurAthleticUnion‐DataBreach,9/13/2019,10/1/2018,"5,286","287,661"
AmericaJuiceCoLLC‐DataBreach,4/8/2019,11/8/2018,40,4843
AmericanAssociationofNurseAnesthetists‐DataBreach,3/8/2019,9/21/2018,2,438
AmericanBoardofMedicalSpecialties‐DataBreach,7/31/2019,3/30/2019,1,234
AmericanCancerSocietyInc‐DataBreach,3/1/2019,1/8/2019,115,8716
AmericanElectricPower‐DataBreach,4/26/2019,12/9/2018,1,4197
AmericanFranchiseHoldingsLLC‐DataBreach,8/9/2019,3/29/2019,1,428
AmericanGeneralLifeInsuranceCompany‐DataBreach,6/27/2019,5/8/2019,11,
AmericanGeneralLifeInsuranceCompany‐DataBreach,6/11/2019,5/1/2019,11,
AmericanMedicalResponseInc‐DataBreach,6/7/2019,9/24/2018,317,"23,356"
Americares‐DataBreach,7/19/2019,2/23/2019,1,258
AmeripriseFinancialInc‐DataBreach,2/27/2019,8/7/2018,21,2984
AmeripriseFinancialInc‐DataBreach,6/26/2019,6/18/2019,1,1
AmeripriseFinancialInc‐DataBreach,7/31/2019,7/13/2019,1,41
AmeripriseFinancialInc‐DataBreach,1/4/2019,12/8/2018,1,1
AmeripriseFinancialInc‐DataBreach,10/16/2019,10/7/2019,1,2
AmeripriseFinancialInc‐DataBreach,12/21/2018,8/28/2018,3,280
AmeripriseFinancialInc‐DataBreach,11/20/2019,11/18/2019,1,1
AmeritasLifeInsuranceCorp‐DataBreach,7/8/2019,5/1/2019,471,"40,000"
AmsterdamPrintingandLithoInc‐DataBreach,5/14/2019,2/1/2019,51,1835
AndyFrainServicesInc‐DataBreach,9/3/2019,5/22/2019,3,"3,948"
AntiqueMallofCrownPointInc‐DataBreach,,11/8/2018,11,11
AnvilAccountingServicesLLConbehalfofStudentMediaGroupSpringboardInc‐DataBreach,7/29/2019,4/1/2019,40,746
ApexBenefitsGroupInc‐DataBreach,7/8/2019,7/2/2019,1,1
AppleMortgage‐DataBreach,6/5/2019,5/3/2019,4,1867
AppliedBank‐DataBreach,1/21/2019,10/30/2018,1,752
AppliedDataFinanceLLCdbaPersonifyFinancial‐DataBreach,1/31/2019,7/21/2018,29,9.939
AppliedEcologicalServicesInc‐DataBreach,7/11/2019,6/17/2019,8,497
APRConsultingCo‐DataBreach,4/10/2019,11/26/2018,2,185
AprimaMedicalSoftwareInc‐DataBreach,9/9/2016,9/5/2016,1,180
AptusHealthInc‐DataBreach,1/31/2019,8/17/2018,1,235
ArizonaDentalInsuranceServiceIncdbaDeltaDentalofArizona‐DataBreach,11/8/2019,7/8/2019,70,"12,886"
ArizonaGameandFishDepartment‐DataBreach,8/21/2019,7/22/2019,1,"1,089"
Artcom‐DataBreach,10/11/2019,7/5/2019,19,"2,078"
ArthurJGallagher&Co‐DataBreach,11/26/2019,3/15/2019,286,"3,330"
AsburyAutomotiveGroupInc‐DataBreach,7/26/2019,5/14/2019,5,197
Ascension‐DataBreach,,,,
ASCORPIncdbaDebcoConstructionInc‐DataBreach,6/28/2019,5/4/2019,1,1091
AshtonWoodsHomes‐DataBreach,9/26/2019,4/8/2019,5,"2,089"
Aspire‐DataBreach,,,,
AspireFinancialServicesLLC‐DataBreach,2/8/2019,12/5/2018,264,"6,431"
AssemblersInc‐DataBreach,4/15/2019,2/12/2019,27,3047
AssociatedVitreoretinalandUveitisConsultants‐DataBreach,1/31/2019,1/11/2019,1,1
AssuredPartnersInc‐DataBreach,2/26/2019,12/26/2018,1,397
Asurint‐DataBreach,12/4/2018,9/21/2018,1,52
AtomicAccountingIncdbaLaunchAccountingServices‐DataBreach,8/12/2019,4/7/2019,10,649
AugustanaCollege‐DataBreach,5/7/2019,2/13/2019,47,"12,443"
AutoApproveLLC‐DataBreach,10/28/2019,8/28/2019,1358,"93,759"
AutoTruckKargoEquipmentLLC‐DataBreach,4/2/2019,7/19/2018,9,762
AutomatedPetCareProductsInc‐DataBreach,4/26/2019,3/13/2019,6,181
AvalaraInc‐DataBreach,6/6/2019,5/22/2019,1,1251
AviatUSInc‐DataBreach,6/13/2019,11/21/2018,2,6
AvivaInvestorsAmericasLLC‐DataBreach,7/16/2019,7/11/2019,1,"1,724"
BRileyFinancialInc‐DataBreach,9/27/2019,5/13/2019,1,102
BackcountryEdgeInc‐DataBreach,7/2/2019,11/27/2018,154,"12,109"
BallMetalpackLLC‐DataBreach,9/25/2019,7/20/2019,1,"1,353"
BambooHRLLC‐DataBreach,3/4/2019,2/11/2019,20,2497
BancServ‐DataBreach,7/1/2019,6/28/2019,1,1
BankoftheWest‐DataBreach,8/22/2019,6/22/2019,1,104
BannerLifeInsuranceCompany‐DataBreach,4/26/2019,4/10/2019,4,393
BaptistHealthFloyd‐DataBreach,,,,
Greenphire,,,,
BaylorScottandWhiteMedicalCenterFrisco‐DataBreach,11/28/2018,9/22/2018,17,"47,984"
BaysideCovenantChurchInc‐DataBreach,2/5/2019,8/3/2018,1,2200
BBXCapitalCorporation‐DataBreach,7/3/2019,3/26/2019,1,980
BCSFinancialInc‐DataBreach,6/18/2019,4/27/2019,3,84
BeaconHealthSystem‐DataBreach,8/6/2019,4/17/2017,319,364
BeaconMedicalGroupAdvancedCardiovascularSpecialists‐DataBreach,,,,
BeaconSalesAcquisitionInc‐DataBreach,3/7/2019,12/3/2018,1,81
BedBathandBeyondInc‐DataBreach,5/3/2019,6/19/2018,5,346
BeecherCarlson‐DataBreach,12/11/2018,8/7/2018,24,1597
BELUSALLC‐DataBreach,12/31/2018,8/5/2018,"1,311","70,244"
BelBornManagementdbaVillageHatShop‐DataBreach,4/18/2019,2/12/2019,5,288
BermanMcAleerLLC‐DataBreach,10/4/2019,7/9/2019,2,324
BerryGlobalInc‐DataBreach,5/9/2019,1/1/2019,27,1461
BFSCapital‐DataBreach,10/29/2019,6/11/2019,1,8
BKDLLP‐DataBreach,3/6/2019,2/14/2019,1,537
BlackstoneInvestmentGroupInc‐DataBreach,3/11/2019,11/11/2018,33,3070
BlauerManufacturingCo‐DataBreach,12/31/2018,9/13/2018,11,374
BlauerManufacturingCoInc‐DataBreach,11/22/2019,9/23/2019,38,"1,157"
BloominBrandsInc‐DataBreach,10/17/2019,8/1/2019,8,499
BluDotDesignandManufacturingInc‐DataBreach,6/17/2019,6/4/2019,1,122
BlueRiverValleySchoolCorporation‐DataBreach,6/21/2019,5/9/2019,653,667
BluegreenVacationsCorporation‐DataBreach,10/2/2019,9/5/2019,1,20
BlueStarInc‐DataBreach,5/22/2019,2/1/2019,11,494
BMSSLLC‐DataBreach,5/24/2019,9/19/2018,2,3992
BoardofRegentsoftheUniversityofNebraska‐DataBreach,3/27/2019,1/19/2019,1,64
BoardofRegentsoftheUniversityofNebraska‐DataBreach,6/10/2019,4/13/2019,1,365
BoneandJointSpecialists‐DataBreach,12/11/2018,7/6/2018,1,1
BookingcomBV‐DataBreach,1/11/2019,12/14/2018,1,1201
BookSharkLLC‐DataBreach,10/25/2019,3/11/2019,26,"3,524"
BoroughofFairLawnNJ‐DataBreach,8/19/2019,12/4/2018,2,"3,585"
BrandtInformationServicesLLC‐DataBreach,4/5/2019,2/11/2019,1,137
BraunAbility‐DataBreach,8/27/2019,8/26/2019,1,1
BreckenridgeGrandVacations‐DataBreach,6/7/2019,12/1/2018,2,"1,455"
BrightonCollectiblesLLC‐DataBreach,3/22/2019,1/28/2019,75,4550
BumblebeeBatteriesLLC‐DataBreach,3/7/2019,7/25/2018,2,
BurtWealthAdvisors‐DataBreach,4/22/2019,2/7/2019,6,410
CSWholesaleGrocersInc‐DataBreach,7/17/2019,6/18/2019,8,"16,790"
CableOneInc‐DataBreach,8/8/2019,3/19/2019,13,"7,375"
CafePressInc‐DataBreach,9/4/2019,2/19/2019,"3,278","22,000,000"
CAHHoldingsInc‐DataBreach,11/15/2019,138,,
CalibreCPAGroup‐DataBreach,8/26/2019,3/11/2019,13,"1,801"
CalistaCorporation‐DataBreach,6/20/2019,12/8/2018,2,"1,476"
CameronMemorialCommunityHospital‐DataBreach,9/14/2018,9/5/2018,1,1
CameronMemorialCommunityHospital‐DataBreach,6/21/2018,6/5/2018,1,1
CameronMemorialCommunityHospital‐DataBreach,7/25/2018,5/30/2018,1,1
CameronMemorialCommunityHospital‐DataBreach,6/7/2019,5/22/2019,1,1
CameronMemorialCommunityHospital‐DataBreach,4/5/2018,3/18/2018,1,1
CameronMemorialCommunityHospital‐DataBreach,10/30/2018,10/25/2018,11,
CameronMemorialCommunityHospital‐DataBreach,12/12/2018,11/19/2018,11,
CameronMemorialCommunityHospital‐DataBreach,12/12/2018,12/7/2018,1,
CameronMemorialCommunityHospital‐DataBreach,4/15/2019,2/10/2019,1,1
CameronMemorialCommunityHospital‐DataBreach,8/17/2018,7/23/2018,1,1
CameronMemorialCommunityHospital‐DataBreach,10/30/2018,10/22/2018,11,
CameronMemorialCommunityHospital‐DataBreach,7/25/2018,6/14/2018,1,1
CantoRauschDeckCoPA‐DataBreach,11/1/2019,3/23/2019,3,"1,096"
CanyonBakehouseLLC‐DataBreach,4/9/2019,3/29/2017,223,"11,976"
CapitalCityBankGroupInc‐DataBreach,1/22/2019,1/2/2019,5,"11,011"
CapitalOne‐DataBreach,8/8/2019,3/22/2019,"2,882","193,741"
CapitalOneNA‐DataBreach,7/10/2019,3/12/2019,2,104
CapitalOneNA‐DataBreach,8/20/2019,1/28/2019,21,"2,091"
CareNewEngland‐DataBreach,11/16/2018,10/29/2018,1,1
Ryan New,5/27/2019,1,1,
CarlsGolflandInc‐DataBreach,8/29/2019,3/25/2019,472,"25,022"
CarlsonBuildingMaintenance‐DataBreach,5/31/2019,6/8/2018,4,6789
CarusGroupInc‐DataBreach,8/2/2019,2/13/2019,28,240
CastlightHealthInc‐DataBreach,6/10/2019,4/25/2019,1,71
CenterstoneInsuranceandFinancialServicesdbaBenefitMall‐DataBreach,1/4/2019,6/1/2018,88,"117,332"
CentraCareHealthSystem‐DataBreach,7/12/2019,4/2/2019,0,"2,085"
CentralMichiganUniversity‐DataBreach,8/30/2019,12/7/2018,5,"1,429"
CentrelakeMedicalGroupInc‐DataBreach,4/16/2019,1/9/2019,25,"197,661"
CenturionLandTitleInc‐DataBreach,4/2/2019,11/16/2018,1048,1246
Century21DepartmentStoresLLC‐DataBreach,11/21/2019,8/27/2019,23,"7,213"
CenturySpringCorp‐DataBreach,1/8/2019,7/13/2018,57,2263
CernerCorporation‐DataBreach,,,,
CertifiedCreditReportingInc‐DataBreach,9/23/2019,8/22/2019,14,520
ChannelDistributionCorp‐DataBreach,7/17/2019,2/13/2019,1,244
CharBroilLLC‐DataBreach,2/12/2019,1/24/2019,1,8
CheckersDriveInRestaurantsInc‐DataBreach,5/29/2019,12/17/2015,,
ChernLawLLC‐DataBreach,1/25/2019,7/27/2018,543,"13,003"
CherrydaleFundraising‐DataBreach,3/15/2019,10/28/2018,117,"13,061"
ChicagoTitleCompanyLLC‐DataBreach,8/21/2019,8/5/2019,2,2
ChildrensAutismCenterInc‐DataBreach,12/10/2018,11/29/2018,173,173
ChildrensBureauInc‐DataBreach,5/9/2019,3/12/2019,244,272
ChildrensHomeSocietyofNorthCarolinaInc‐DataBreach,2/28/2019,1/28/2019,3,748
ChildrensHopeAlliance‐DataBreach,9/26/2019,4/23/2019,1,"10,744"
ChoiceHotelsInternationalInc‐DataBreach,11/29/2019,6/1/2015,"1,957","88,295"
ChristianInvestorsFinancialInc‐DataBreach,8/7/2019,4/23/2019,1,200
ChristinaAnderson‐DataBreach,,,,
CincinnatiBellInc‐DataBreach,6/18/2019,2/11/2019,162,"3,395"
CincinnatiRedsLLC‐DataBreach,11/19/2018,3/17/2017,41,1863
CincinnatusSavingsandLoanCo‐DataBreach,2/1/2019,5/3/2018,12,100
CISSecureComputingInc‐DataBreach,10/10/2019,9/19/2019,1,52
CitizensEnergyGroup‐DataBreach,,8/29/2019,1,1
CitizensEquityFirstCreditUnion‐DataBreach,2/27/2019,11/15/2018,1,175
CitrixSystemsInc‐DataBreach,4/29/2019,10/13/2018,28,"15,820"
CityCollegeofSanFrancisco‐DataBreach,6/18/2019,2/11/2019,1,"1,108"
CityFurnitureInc‐DataBreach,9/6/2019,5/14/2019,1,"2,199"
CityofCharlottesville‐DataBreach,9/27/2019,3/19/2019,14,"10,549"
CityofDekalb‐DataBreach,4/24/2019,11/30/2018,8,1091
CIVCOMedicalInstrumentsCoInc‐DataBreach,2/15/2019,1/23/2019,1,166
CJProductsInc‐DataBreach,2/15/2019,8/30/2017,179,6731
ClarkePowerServices‐DataBreach,5/14/2019,6/8/2018,1,16
ClearwaterCreditCompany‐DataBreach,10/10/2019,9/13/2019,1,960
CMGroupHoldingsIncdbaCreativeMemories‐DataBreach,4/1/2019,1/31/2019,26,1251
CoastalRidgeRealEstatePartners‐DataBreach,3/20/2019,1/12/2019,66,1044
CoatesFieldService‐DataBreach,4/25/2019,12/9/2018,2,4475
CocaColaBottlingCompanyUnitedInc‐DataBreach,7/26/2019,6/19/2018,1,800
CocktailKingdomLLC‐DataBreach,3/5/2019,1/16/2019,1,40
ColgateUniversity‐Databreach,4/11/2019,1/19/2019,1,674
ColorStreetLLC‐DataBreach,2/5/2019,2/4/2019,13,389
ColosimoEwingSmithLLC‐DataBreach,11/13/2019,4/25/2019,4,271
ColumbiaForestProducts‐DataBreach,3/29/2019,9/8/2018,2,2391
CombeIncorporated‐DataBreach,2/28/2019,1/15/2019,3,240
CommunitiesConnectedforKids‐DataBreach,8/30/2019,8/1/2018,177,"149,114"
CommunityCollegeofAlleghenyCounty‐DataBreach,4/5/2019,3/27/2019,5,"4,180"
CommunityHealthNetwork‐DataBreach,9/12/2019,8/14/2019,1,1
CommunityHealthNetwork‐DataBreach,1/23/2019,1/8/2019,1,1
CommunityHealthNetwork‐DataBreach,9/13/2019,8/22/2019,1,1
CommunityHealthNetwork‐DataBreach,3/7/2019,2/1/2019,1,1
CommunityHealthNetwork‐DataBreach,3/12/2019,3/3/2019,1,1
CommunityHealthNetworkRehabilitationHospitalSouth‐DataBreach,7/23/2019,6/3/2019,22,22
CommunityHealthNetworkInc‐DataBreach,5/17/2019,1/10/2019,"6,450","6,600"
CommunityHowardRegionalHealth‐DataBreach,5/14/2019,4/16/2019,2,2
CommunityPhysicianNetwork‐DataBreach,4/24/2019,10/17/2018,1,1
CommunityPhysicianNetwork‐DataBreach,6/20/2019,5/24/2019,4,4
CommunityPhysiciansofIndianaInc‐DataBreach,3/11/2019,8/24/2018,5,5
CommunityRehabilitationHospital‐DataBreach,7/23/2019,6/3/2019,2,2
ConcretePipePrecastLLC‐DataBreach,9/13/2019,7/17/2019,1,18
CondéNast‐DataBreach,5/10/2019,4/14/2019,5,1161
Conduent‐DataBreach,12/17/2018,12/17/2018,1,1
ConerstoneBenefitsInc‐DataBreach,10/18/2019,5/7/2019,3,"2,991"
ConnecticutLaborersFundOffice‐DataBreach,8/27/2019,5/9/2019,2,"1,567"
ContinentalPropertiesCompanyInc‐DataBreach,5/20/2019,3/18/2019,3,92
ContinentalResourcesInc‐DataBreach,2/27/2019,2/1/2019,1,45
ControlConsultantsInc‐DataBreach,2/8/2019,3/1/2017,15,539
UnknownRespondent,,,,
CorCleaningLLC‐DataBreach,12/12/2018,8/30/2018,1,659
CornerstoneBuildingBrandsInc‐DataBreach,9/11/2019,4/1/2019,375,"11,185"
CornerstoneInc‐DataBreach,8/19/2019,6/26/2019,15,"7,213"
CorporateCreationsInternationalInc‐DataBreach,8/28/2019,7/17/2019,11,"1,147"
CorporateCreationsInternationalIncLKQCorporation‐DataBreach,10/2/2019,9/3/2019,1,261
CottinghamButlerClaimsServices‐DataBreach,8/30/2019,5/23/2019,11,434
CouncilonAgingofSouthwesternOhio‐DataBreach,5/22/2019,2/1/2019,9,596
CountryFinancial‐DataBreach,5/7/2019,4/1/2019,4,1301
CourtSquareCapitalPartners‐DataBreach,2/27/2019,2/15/2017,1,103
CovenantCareCalifornia‐DataBreach,3/20/2019,1/22/2019,622,10831
CovestroLLC‐DataBreach,9/20/2019,4/1/2019,4,"2,780"
CoviaHoldingsCorporation‐DataBreach,8/1/2019,4/12/2019,11,"5,151"
CoyoteLogisticsLLC‐DataBreach,8/9/2019,5/31/2019,2,218
CraneCreditUnion‐DataBreach,3/12/2019,2/1/2019,1265,1265
CranvickIncorporateddbaEdoneandGraham‐DataBreach,12/15/2018,11/7/2018,1,418
CreationEntertainmentInc‐DataBreach,8/26/2019,2/1/2018,"1,294","57,078"
CremationSocietyofPennsylvaniaInc‐dataBreach,3/15/2019,2/12/2019,21,"24,168"
CrowePRPSC‐DataBreach,10/18/2019,7/15/2019,5,"2,332"
CrownGlobalInsuranceGroupLLC‐DataBreach,11/18/2019,10/10/2019,2,167
CryeLeikeInc‐DataBreach,2/1/2019,11/30/2018,1,1857
CumminsBehavioralHealthSystemsInc‐DataBreach,,,,
CUNABrokerageServicesInc‐DataBreach,7/11/2019,6/3/2019,1,1
CUSOFinancialServicesLP‐DataBreach,1/3/2019,12/19/2018,4,4
CventInc‐DataBreach,6/24/2019,4/16/2019,7,"3,100"
CWCapitalAssetManagement‐DataBreach,2/27/2019,8/16/2018,1,283
CzeroInc‐DataBreach,8/1/2019,4/2/2019,1,99
DandSAutoParts‐DataBreach,4/29/2019,2/1/2019,1,122
DallasComputerServicesInc‐DataBreach,7/22/2019,6/24/2019,5,"66,608"
DarwinsNaturalPetProducts‐DataBreach,6/7/2019,9/27/2016,229,"19,523"
DatamarsInc‐DataBreach,7/9/2019,12/1/2018,3,117
dataxuInc‐DataBreach,6/17/2019,4/17/2019,3,494
DavidEBenesonDPM‐DataBreach,3/29/2019,2/12/2019,7,"12,542"
DawnFoodProductsInc‐DataBreach,2/25/2019,,66,
DeaconessHospital‐DataBreach,3/28/2019,3/23/2019,1,1
DeaconessHospital‐DataBreach,,,,
DeanSnyderConstruction‐DataBreach,6/4/2019,,2,76
DEFENDERSInc‐DataBreach,1/31/2019,8/1/2018,1090,3382
DelawareLifeInsuranceCompany‐DataBreach,6/19/2019,4/1/2019,44,"7,877"
DellaVecchiaReillySmithandBoydFuneralHomeInc‐DataBreach,8/28/2019,6/7/2019,1,92
DeltaDentalofIllinois‐DataBreach,4/16/2019,12/21/2018,154,5092
DeltaDentalofWisconsin‐DataBreach,1/14/2019,12/14/2018,4,416
DeluxeCorporation‐DataBreach,8/29/2019,8/13/2019,3,153
DermatologyInc‐DataBreach,10/8/2019,7/1/2019,125,125
DevereuxFoundation‐DataBreach,2/22/2019,1/30/2019,1,752
DiamondFinancialUSA‐DataBreach,6/7/2019,2/12/2019,5,"2,698"
DiBellasOldFashionedSubmarinesInc‐DataBreach,11/26/2019,3/22/2018,,
DiGiovineHniloJordanJohnsonLtd‐DataBreach,1/17/2019,4/23/2018,32,3173
DiPardoEremicandCoPC‐DataBreach,2/25/2019,,2,1098
DirectDistributorsInc‐DataBreach,2/21/2019,1/1/2018,40,2437
DirectScripts‐DataBreach,2/22/2019,1/30/2019,15,9319
DIRTTEnvironmentalSolutions‐DataBreach,8/30/2019,8/12/2019,2,233
DiscipleshipMinistries‐DataBreach,3/8/2019,8/10/2018,4,89
DMBSportsClubsLimitedPartnership‐DataBreach,5/9/2019,2/2/2019,4,2366
TheRevenueOptimizationCompanies,,,,
DollarGeneralCorporation‐DataBreach,1/21/2019,12/24/2018,1,33
DominionNational‐DataBreach,6/21/2019,8/25/2010,"1,899","3,199,635"
DonBestCorporationaScientificGamesCorporation‐DataBreach,2/6/2019,10/12/2018,870,"58,000"
DoorDashInc‐DataBreach,9/26/2019,5/4/2019,"2,600","100,247"
DoumakInc‐DataBreach,10/11/2019,7/29/2019,1,193
DrTavelFamilyEyeCare‐DataBreach,,,,
DrBenLunchLLC‐DataBreach,12/17/2018,9/8/2018,5,392
DrDeLucaDrMarcianoandAssociatesPC‐DataBreach,1/25/2019,11/29/2018,2,"23,578"
DrTYStevenIpMDFACS‐DataBreach,4/18/2019,11/8/2018,2,6326
DrakeSoftware‐DataBreach,5/15/2019,2/18/2019,7,131
DraperInc‐DataBreach,10/3/2019,5/24/2019,20,89
DruryHotelsCompanyLLC‐DataBreach,5/30/2019,12/29/2017,211,"109,000"
DukeEnergyIndianaLLC‐DataBreach,,,,
DukeUniversity‐DataBreach,4/9/2019,1/1/2013,4,1491
EarlEnterprises‐DataBreach,3/29/2019,5/23/2018,,
EarlyWarningServicesLLC‐DataBreach,7/12/2019,5/3/2019,1,72
eClinicalWorksLLP‐DataBreach,,,,
EdinboroUniversityStudentGovernmentAssociation‐DataBreach,8/15/2019,7/15/2019,1,362
EdmondsonBetzlerandDamePLLC‐DataBreach,3/28/2019,3/17/2018,4,579
EisaiInc‐DataBreach,3/27/2019,1/22/2019,1,110
ElectroSavingsCreditUnion‐DataBreach,4/12/2019,1/31/2019,2,979
ElevateStudiosInc‐DataBreach,4/10/2019,3/29/2019,1,24
ElizabethFamilyHealth‐DataBreach,11/22/2019,9/23/2019,28,"28,375"
EmCareInc‐DataBreach,5/3/2019,9/24/2018,843,"60,002"
EmCareInc‐DataBreach,4/12/2019,8/24/2018,1,689
EmersonHospital‐DataBreach,3/8/2019,5/9/2018,1,"6,314"
EMPIIIIncDBAAlphaPropertyManagement‐DataBreach,6/7/2019,10/1/2018,1,633
EmployBridge‐DataBreach,11/8/2019,9/3/2019,16,"1,522"
EmployeeScreeningServicesofMissouriDBATomoDrugTesting‐DataBreach,9/25/2019,4/23/2019,2,"1,459"
EmployIndy‐DataBreach,8/1/2019,7/24/2019,1,1
EnservioInc‐DataBreach,1/9/2019,6/5/2018,3,490
EnvironmentalGraphicsLLCdbaMuralsYourWay‐DataBreach,2/22/2019,1/16/2019,2,109
EnvironmentalStoneWorksLLC‐DataBreach,8/26/2019,3/12/2019,4,"4,056"
EpiscopalChildrensServicesInc‐DataBreach,4/3/2019,2/6/2019,5,1632
EpiscopalHealthServices‐DataBreach,4/18/2019,8/28/2018,1,"218,055"
EpochSeniorLivingLLC‐DataBreach,7/12/2019,4/2/2019,1,"1,389"
EquianLLC‐DataBreach,10/17/2019,7/26/2019,1,24
EquianLLC‐DataBreach,8/27/2019,4/10/2019,3,238
ERCEmployersResourceCouncil‐DataBreach,10/25/2019,5/7/2019,1,11
ErnestHealth‐DataBreach,4/15/2019,10/8/2018,9,7037
EskenaziHealth‐DataBreach,1/4/2019,,1,1
EskenaziHealth‐DataBreach,11/15/2019,8/20/2019,1,1
EskenaziHealth‐DataBreach,,,,
EskenaziHealth‐DataBreach,,9/12/2019,1,1
EspressoPartsLLC‐DataBreach,8/20/2019,6/4/2019,10,763
Essentia Health‐DataBreach,7/10/2019,3/28/2019,2,"1,377"
EssexPropertyTrustInc‐DataBreach,11/11/2019,,4,20
EurofinsNSCUSInc‐DataBreach,10/12/2018,10/2/2018,1,64
EvergreenAllianceGolfLimitedLP‐DataBreach,2/25/2019,8/15/2018,9,"14,888"
ExamOne‐DataBreach,7/16/2019,4/6/2019,1,1
ExamOne‐DataBreach,6/27/2019,4/13/2019,1,1
ExamOne‐DataBreach,7/16/2019,6/18/2019,1,1
ExamOne‐DataBreach,4/26/2019,4/10/2019,1,1
ExamOne‐DataBreach,6/27/2019,5/8/2019,1,1
ExamOne‐DataBreach,10/11/2019,9/4/2019,3,3
EyeBuyDirectInc‐DataBreach,10/14/2019,9/1/2018,4,"12,833"
EyeBuyDirectInc‐DataBreach,3/18/2019,2/24/2019,16,797
EyeSafetySystemsInc‐DataBreach,8/29/2019,11/21/2017,149,"7,666"
FamilyandSocialServicesAdministration‐DataBreach,8/7/2019,7/17/2019,1,1
FamilyandSocialServicesAdministration‐DataBreach,4/3/2019,3/29/2019,1,1
FamilyandSocialServicesAdministration‐DataBreach,5/6/2019,5/2/201911,,
FamilyandSocialServicesAdministration‐DataBreach,8/29/2019,7/19/2019,5,5
FamilyandSocialServicesAdministration‐DataBreach,8/7/2019,7/12/2019,1,1
FamilyandSocialServicesAdministration‐DataBreach,4/10/2019,4/2/2019,1,1
