Date Reported,Organization Name,Date of Breach,Number of Washingtonians Affected,Information Compromised
3/7/2019,Columbia Surgical Specialists,1/9/2019,131260,Name; Social Security Number; Driver's License or Washington ID Card Number; Medical Information
02/22/2019,Seattle Housing Authority,1/7/2019,720,Name; Financial & Banking Information
02/20/2019,University of Washington Medical Center,12/4/2018,894272,Name; Medical Information
02/14/2019,North 40 Outfitters,2/2/2018,2632,Name; Financial & Banking Information; Username and Password/Security Question Answers
2/12/2019,Stanwich Mortgage Loan Trust,2/1/2018,702,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Medical Information; Other
01/30/2019,Image-I-Nation Technologies Inc.,11/1/2018,3695,Name; Social Security Number; Full Date of Birth
01/18/2019,"Pharmaca Integrative Pharmacy, LLC",07/19/2018,Unknown,Name; Financial & Banking Information
1/11/2019,Caroline Kline Galland Home,12/23/2018,9,Name; Social Security Number; Full Date of Birth; Medical Information; Other
1/9/2019,A&A Global Imports Inc.,08/15/2017,2783,Name; Financial & Banking Information; Username and Password/Security Question Answers; Other
1/3/2019,Chaplaincy Health Care,11/20/2018,1086,Name; Full Date of Birth; Medical Information; Other
12/31/2018,Aimbridge Hospitality Holdings LLC,6/7/2018,647,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information
12/26/2018,Bel USA LLC,8/5/2018,1553,Name; Financial & Banking Information
12/20/2018,JAND Inc. d/b/a Warby Parker,09/25/2018,951,Name; Other
12/7/2018,Titan Manufacturing and Distributing Inc.,,1838,Name; Financial & Banking Information; Other
12/5/2018,San Diego Hardware,2/5/2018,604,Name; Financial & Banking Information; Other
11/30/2018,Ontario Inc.,08/15/2014,540,Name; Financial & Banking Information
11/30/2018,"Marriott International, Inc.",,Unknown,Name; Full Date of Birth; Passport Number; Other
11/27/2018,Burgerville LLC,8/1/2017,Unknown,Name; Financial & Banking Information
11/27/2018,Washington State Patrol,10/14/2018,1171,Name; Social Security Number; Driver's License or Washington ID Card Number
11/27/2018,Atrium Health,09/22/2018,172,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Other
11/21/2018,British Airways PLC,08/21/2018,1588,Name; Financial & Banking Information; Other
11/19/2018,Francesca's Services Corporation,12/28/2017,1148,Name; Financial & Banking Information; Username and Password/Security Question Answers; Other
11/16/2018,Washington State Employees Credit Union,10/1/2018,2560,Name; Financial & Banking Information
11/16/2018,LPL Financial LLC,11/1/2018,8127,Name; Social Security Number; Other
11/15/2018,Newegg Inc.,08/13/2018,5931,Name; Financial & Banking Information; Other
11/15/2018,HealthEquity Inc.,9/4/2018,27175,Name; Social Security Number; Other
11/13/2018,"Pharmacy Times Office of Continuing Professional Education, LLC",5/11/2018,797,Name; Social Security Number
11/13/2018,Stein Mart Inc.,12/28/2017,680,Name; Financial & Banking Information; Other
11/12/2018,"Title Nine Sports, Inc.",12/28/2017,4837,Name; Financial & Banking Information; Other
11/12/2018,Collier Heggerness & Bronk CPA's PS Inc.,,2194,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Other
11/9/2018,Thesy LLC,12/6/2017,5907,Name; Financial & Banking Information
11/7/2018,"Unified Trust Company, N.A.",12/6/2017,1196,Name; Social Security Number; Financial & Banking Information; Other
11/6/2018,"Southwest Washington Regional Surgery Center, LLC",05/27/2018,1690,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
11/5/2018,Nordstrom Inc.,10/9/2018,13442,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Other
10/25/2018,GS1 US Inc.,7/7/2017,2384,Name; Financial & Banking Information; Other
10/25/2018,Bankers Life,05/30/2018,226,Name; Full Date of Birth; Other
10/25/2018,Caroline Kline Galland Home,1/1/2015,203,Name; Social Security Number; Other
10/22/2018,Challenger Sports Inc.,08/26/2018,516,Name; Financial & Banking Information; Other
10/18/2018,Renaissance Philanthropic Solutions Group,6/5/2018,609,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Other
10/11/2018,SHEIN,6/1/2018,Unknown,Email Address and Password/Security Question Answers
10/5/2018,Rebound Orthopedics & Neurosurgery,05/22/2018,1607,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Medical Information
10/2/2018,Zenith American Solutions,08/13/2018,30,Name; Social Security Number; Full Date of Birth; Other
9/12/2018,Skagit Bancorp Inc.,,519,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Username and Password/Security Question Answers; Other
9/11/2018,Peaceful Valley Farm Supply,2/9/2018,1224,Name; Other
08/29/2018,LILLEbaby,6/1/2016,1557,Name; Financial & Banking Information
08/22/2018,Cheddar's Scratch Kitchen,11/3/2017,Unknown,Name; Financial & Banking Information
8/3/2018,Colorado Bankers Life Insurance Company,03/28/2018,956,Name; Social Security Number; Financial & Banking Information
07/27/2018,Yale University,4/1/2008,1742,Name; Social Security Number; Full Date of Birth; Other
07/25/2018,"TradeMotion, LLC",10/1/2017,195,Name; Financial & Banking Information; Other
07/13/2018,"ComplyRight, Inc.",04/20/2018,29322,Name; Social Security Number; Other
7/12/2018,Overlake Arthritis and Osteoporosis Center,5/11/2018,627,Name; Social Security Number; Medical Information; Other
7/6/2018,International Mission Board,,992,Name; Social Security Number; Full Date of Birth; Medical Information; Other
7/6/2018,"Coty, Inc.",1/12/2018,44,Unknown
7/1/2018,"Macy's, Inc.",04/26/2018,3564,Name; Financial & Banking Information; Other
06/29/2018,Northwest University,,1434,Name; Social Security Number; Medical Information; Other
06/23/2018,"Terteling Company, Inc.",5/1/2018,941,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Medical Information; Other
6/1/2018,Transamerica Retirement Solutions,,335,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Other
05/18/2018,Brinker International (Chilis),3/1/2018,Unknown,Name; Financial & Banking Information
05/17/2018,Corporation Service Company,11/25/2017,4631,Name; Social Security Number
5/9/2018,H&R Block,,2655,Name; Social Security Number; Financial & Banking Information; Other
5/9/2018,"TaskRabbit, Inc.",,77618,Name; Social Security Number; Financial & Banking Information; Username and Password/Security Question Answers
5/8/2018,Global University,12/31/2017,5679,Name; Social Security Number
5/3/2018,Alaska Airlines,10/1/2017,1442,Name; Financial & Banking Information; Full Date of Birth; Other
5/2/2018,"SunTrust Banks, Inc",,272,Name; Financial & Banking Information; Other
04/30/2018,Rail Europe North America,11/29/2017,687,Name; Financial & Banking Information; Username and Password/Security Question Answers; Other
04/26/2018,Hudson's Bay Company,7/1/2017,Unknown,Name; Financial & Banking Information
04/24/2018,Sears Holdings,09/27/2017,2373,Name; Financial & Banking Information; Other
04/20/2018,Southwest Airlines,10/1/2017,555,Name; Other
04/13/2018,"Best Buy Co, Inc.",09/26/2017,8390,Name; Financial & Banking Information; Other
04/13/2018,Inogen Inc.,,518,Name; Health Insurance Policy or ID Number; Medical Information; Other
4/11/2018,Delta Airlines,09/26/2017,24563,Name; Financial & Banking Information; Other
03/27/2018,Manduka,02/25/2018,1634,Name; Financial & Banking Information
03/22/2018,American Express Travel Related Services Company,1/1/2016,6627,Name; Full Date of Birth; Other
03/20/2018,Orbitz,10/1/2017,5013,Name; Financial & Banking Information; Other
03/19/2018,"Bronson Nutritionals, LLC",05/15/2017,774,Name; Financial & Banking Information; Other
03/15/2018,"Parker Staffing Services, LLC",,Unknown,Name; Social Security Number; Other
3/8/2018,ABM Industries Incorporated,,1100,Name; Social Security Number; Financial & Banking Information; Medical Information; Other
3/2/2018,Preferred Hotels & Resorts,6/1/2016,21687,Name; Financial & Banking Information
02/27/2018,FastHealth Corporation,08/14/2017,2876,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information
02/23/2018,North 40 Outfitters,01/20/2017,2671,Name; Financial & Banking Information; Username and Password/Security Question Answers
2/5/2018,"PAR Electrical Contractors, Inc.",12/22/2017,768,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Passport Number; Medical Information; Other
2/1/2018,North Beach School District,01/30/2018,Unknown,Name; Social Security Number; Other
01/25/2018,Zachary E. Adkins DDS,11/30/2017,Unknown,Name; Social Security Number; Medical Information; Other
01/23/2018,"Insight Sourcing Group Holdings, LLC",11/30/2017,1,Name; Social Security Number; Full Date of Birth; Other
1/12/2018,"Guarenteed Rate, Inc.",6/9/2017,2545,Name; Social Security Number; Financial & Banking Information
1/11/2018,"Deli Management, Inc. (Jason's Deli)",6/8/2017,Unknown,Name; Financial & Banking Information
1/10/2018,"talentReef, Inc.",,604,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Other
1/2/2018,Multnomah Athletic Club,12/2/2017,661,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Passport Number; Other
12/28/2017,"Forever 21, Inc.",4/3/2017,Unknown,Unknown
12/22/2017,"LiveGlam, Inc.",04/25/2017,600,Name; Financial & Banking Information; Other
12/22/2017,"TIO Networks USA, Inc.",,1962,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Username and Password/Security Question Answers; Other
12/11/2017,"Combat Brands, LLC",7/1/2015,956,Name; Financial & Banking Information
12/1/2017,JAM Paper & Envelope,06/15/2016,590,Name; Financial & Banking Information; Other
11/27/2017,"Bulletproof 360, Inc.",10/26/2016,4077,Name; Financial & Banking Information; Other
11/21/2017,"Uber Technologies, Inc.",10/13/2016,10888,Name; Driver's License or Washington ID Card Number
11/17/2017,"The Medical College of Wisconsin, Inc.",07/21/2017,6,Name; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Other
11/15/2017,Western State Hospital,09/20/2017,515,Name; Medical Information
11/13/2017,Gallagher NAC,06/18/2017,579,Financial & Banking Information
11/3/2017,"Tween Brands, Inc.",9/7/2017,2477,Name; Social Security Number
10/30/2017,HumanGood,09/27/2017,642,Name; Medical Information; Other
10/20/2017,"Whole Foods Market Services, Inc.",3/10/2017,Unknown,Name; Financial & Banking Information
10/16/2017,Capital One Merchants (Spark Pay Online),3/10/2017,1352,Name; Financial & Banking Information; Other
10/16/2017,"Pizza Hut, LLC",10/1/2017,1896,Name; Financial & Banking Information; Other
10/12/2017,Hyatt Hotels Corporation,03/18/2017,640,Name; Financial & Banking Information
10/6/2017,Catholic United Financial,07/31/2017,704,Name; Social Security Number; Financial & Banking Information; Other
10/6/2017,"Provo Craft & Novelty, Inc.",05/27/2017,773,Name; Financial & Banking Information; Other
10/6/2017,Tommie Copper Inc.,04/25/2017,695,Name; Financial & Banking Information
10/4/2017,SONIC Corp.,,Unknown,Other
10/3/2017,"FlexShopper, LLC",,2396,Name; Social Security Number; Financial & Banking Information; Email Address and Password/Security Question Answers; Other
09/29/2017,BSI Financial Services,6/1/2017,580,Unknown
09/29/2017,The Online Traffic School,,2404,Unknown
09/18/2017,"W.W. Grainger, Inc.",08/23/2017,725,Name; Social Security Number; Other
09/16/2017,Whatcom Land Title Co.,,433,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Passport Number; Other
9/7/2017,"Equifax, Inc.",05/16/2017,3243664,Unknown
08/31/2017,Timberland Bank,,5688,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Other
08/24/2017,Green River Community College,12/1/2016,3399,Name; Social Security Number
08/14/2017,TRUEbenefits LLC,,12327,Name; Social Security Number; Health Insurance Policy or ID Number; Medical Information
8/3/2017,Silver Cloud Inns & Hotels,8/10/2016,1382,Name; Financial & Banking Information
07/28/2017,Noble House Hotels & Resorts,8/10/2016,523,Name; Financial & Banking Information; Other
07/26/2017,Al J. Schneider Company (Galt House Hotel),12/21/2016,791,Name; Financial & Banking Information
07/26/2017,Steel Technologies LLC (Hydro Flask Brand),,1780,Name; Financial & Banking Information; Other
07/25/2017,City of Port Angeles,,9400,Other
07/24/2017,Avanti Markets Inc.,7/4/2017,1663,Financial & Banking Information
07/21/2017,Value Eyecare Network,,2696,Name; Financial & Banking Information; Other
07/18/2017,"Keller Williams Realty, Inc.",5/6/2017,9425,Name; Social Security Number; Username and Password/Security Question Answers; Other
07/14/2017,"Two Roads Hospitality, LLC",8/10/2016,5401,Name; Financial & Banking Information; Other
07/14/2017,SBE ENT Holdings,8/10/2016,Unknown,Unknown
7/12/2017,Club Quarters Hotels,8/10/2016,113,Name; Financial & Banking Information; Other
7/10/2017,Pacific Science Center,06/13/2017,605,Name; Social Security Number; Other
7/6/2017,Four Seasons Hotels Limited,8/10/2016,636,Name; Financial & Banking Information; Other
7/5/2017,Loews Hotels & Co.,08/29/2016,912,Name; Financial & Banking Information; Other
06/30/2017,Preferred Hotel Group,8/10/2016,2370,Name; Financial & Banking Information
06/22/2017,GOLFTEC,3/2/2017,653,Unknown
06/22/2017,Caliber Home Loans,,20437,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Unique Private Key (e.g. used to authenticate or sign an electronic record); Military ID Number
06/20/2017,Home Point Financial Corporation,11/1/2016,815,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Other
06/19/2017,Kayser-Roth Inc.,2/1/2016,1973,Name; Other
6/8/2017,Washington State University,,769088,Name; Social Security Number; Medical Information; Other
6/6/2017,"Airway Oxygen, Inc.",,78,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Other
6/5/2017,"GameStop, Inc.",8/10/2016,27956,Name; Financial & Banking Information; Other
05/31/2017,BMO Harris Bank,05/15/2017,47,Name; Other
05/26/2017,"Kennewick Public Hospital District, dba Trios Health",10/23/2013,942,Name; Medical Information
05/24/2017,"Incipio, LLC",02/26/2016,1650,Name; Financial & Banking Information; Other
05/19/2017,Zillow,5/9/2017,1086,Name; Social Security Number; Other
05/17/2017,"Rite Aid Online Store, Inc.",01/30/2017,657,Name; Financial & Banking Information; Other
05/16/2017,"Nicopure Labs, LLC",,541,Name; Financial & Banking Information; Other
05/15/2017,Kuru Footwear,12/20/2016,513,Name; Financial & Banking Information; Other
05/15/2017,TALX Corporation,1/4/2016,1467,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Other
5/12/2017,Brooks Brothers,4/4/2016,Unknown,Name; Financial & Banking Information
5/12/2017,Indigo Wild,11/14/2016,501,Name; Financial & Banking Information; Other
5/9/2017,Seattle Indian Health Board,8/10/2016,4579,Unknown
5/5/2017,"Solera Holdings, Inc.",,33,Name; Financial & Banking Information; Other
5/4/2017,Metro Parks Tacoma,5/3/2017,23,Name; Social Security Number; Full Date of Birth; Other
04/25/2017,Hill Country Memorial Hospital,02/21/2017,5,Name; Social Security Number; Full Date of Birth; Medical Information; Other
04/25/2017,Seattle Housing Authority,,1500,Unknown
04/18/2017,Pacific Lutheran University,01/23/2017,813,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Other
04/14/2017,Six Continents Hotels,09/29/2016,13825,Name; Financial & Banking Information
4/12/2017,"ILKB, LLC",10/1/2016,1140,Name; Financial & Banking Information; Other
4/9/2017,Lake Kennedy McCulluch CPAs PS,01/30/2017,1688,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Other
4/4/2017,Tempur-Pedic,02/26/2016,7366,Name; Financial & Banking Information; Other
03/27/2017,"Easy Breathe, Inc.",,2034,Name; Financial & Banking Information; Other
03/17/2017,People for People,10/20/2016,821,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Medical Information; Other
03/16/2017,"Northwest Christian Schools, Inc.",2/11/2017,526,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Other
3/10/2017,Bambeco Inc.,02/26/2016,2176,Name; Financial & Banking Information; Other
3/8/2017,prAna,12/14/2016,18172,Name; Financial & Banking Information; Username and Password/Security Question Answers; Other
3/8/2017,Atlantic Cigar,02/26/2016,803,Name; Financial & Banking Information; Other
3/7/2017,Russell Investments,02/22/2017,1291,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Other
3/6/2017,West Music Company,02/26/2016,1495,Name; Financial & Banking Information; Other
02/25/2017,Alpha Industries,02/26/2016,1013,Name; Financial & Banking Information; Other
02/25/2017,"Nutrex Hawaii, Inc.",02/26/2016,725,Name; Financial & Banking Information; Other
02/25/2017,"Blue Mercury, Inc.",02/26/2016,778,Name; Financial & Banking Information; Other
02/25/2017,"Vapour Organic Beauty, LLC",02/26/2016,847,Name; Financial & Banking Information; Other
02/25/2017,"Plow and Hearth, LLC",02/26/2016,1274,Name; Financial & Banking Information; Other
02/25/2017,"Century, LCC",02/26/2016,639,Name; Financial & Banking Information; Other
02/25/2017,"Movie Mars, Inc.",02/26/2016,524,Name; Financial & Banking Information; Other
02/25/2017,"New England Biolabs, Inc.",02/26/2016,746,Name; Financial & Banking Information; Other
02/24/2017,Mrs Prindables,02/26/2016,784,Name; Financial & Banking Information; Other
02/24/2017,BENCHMARK,10/23/2016,261,Name; Financial & Banking Information
02/24/2017,Roberts Hawaii,07/30/2015,1178,Name; Financial & Banking Information; Other
02/24/2017,"Pasco Rentals, Inc.",1/12/2017,6300,Name; Driver's License or Washington ID Card Number; Other
02/24/2017,"Affy Tapple, LLC d/b/a Affy Tapple",02/26/2016,19,Name; Financial & Banking Information; Other
02/23/2017,Abbott Nutrition,6/1/2013,1819,Name; Financial & Banking Information; Other
02/22/2017,"InterMountain Management, LLC",2/3/2017,558,Name; Social Security Number; Other
02/22/2017,Intex Recreation Corp.,04/24/2016,1547,Name; Financial & Banking Information; Other
2/8/2017,The Boeing Company,11/21/2016,7288,Name; Social Security Number; Full Date of Birth; Other
2/3/2017,"Conover Capital Management, LLC and Conover Securities Corporation",11/16/2016,1197,Name; Social Security Number; Driver's License or Washington ID Card Number; Other
01/27/2017,Saturna Capital Corporation,01/18/2017,2,Name; Social Security Number; Full Date of Birth; Other
01/18/2017,"CoPilot Provider Support Services, Inc.",,1522,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Other
1/12/2017,"Spiraledge, Inc.",5/2/2016,9700,Name; Financial & Banking Information; Other
12/21/2016,Community Health Plan of Washington,01/16/2016,353388,Name; Social Security Number; Health Insurance Policy or ID Number; Other
12/20/2016,Western Union Financial Services,,2470,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth
11/30/2016,CHI Franciscan Health- Hospice Tacoma,10/18/2016,1223,Name; Social Security Number; Health Insurance Policy or ID Number; Medical Information; Other
11/22/2016,The Madison Square Garden Company,11/9/2015,Unknown,Name; Financial & Banking Information
11/21/2016,Island Hotel Company Limited,3/9/2016,Unknown,Name; Financial & Banking Information
11/18/2016,Michigan State University,11/13/2016,Unknown,Name; Social Security Number; Full Date of Birth; Student ID Number; Other
11/18/2016,Springfield Armory,10/3/2015,512,Name; Financial & Banking Information; Other
11/11/2016,Charles Schwab,,975,Name; Financial & Banking Information; Other
11/9/2016,Eileen Fisher Inc.,9/7/2016,755,Name; Financial & Banking Information; Other
11/9/2016,UFCW Local 655 Food Employers Pension Plan,,556,Name; Social Security Number; Financial & Banking Information; Full Date of Birth
11/4/2016,Rebecca Minkoff LLC,,549,Name; Financial & Banking Information; Username and Password/Security Question Answers
10/19/2016,Eastwood Company,05/29/2016,633,Name; Financial & Banking Information; Other
10/12/2016,Vera Bradley,07/25/2016,22,Name; Financial & Banking Information
09/30/2016,Vaupell,9/12/2016,1198,Name; Social Security Number; Full Date of Birth; Other
09/23/2016,Group Health Cooperative,08/31/2016,651,Unknown
09/19/2016,ACTIVEOutdoors,,1449645,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Other
09/19/2016,"Ascensus, Inc.",,1505,Name; Social Security Number; Full Date of Birth; Other
9/2/2016,Noble House Hotels,,1463,Name; Financial & Banking Information
08/31/2016,Kimpton Hotels & Restaurants,02/16/2016,5428,Name; Financial & Banking Information
08/31/2016,Highline Medical Center,04/21/2016,12724,Name; Social Security Number; Health Insurance Policy or ID Number; Other
08/30/2016,"Presnell Gage, PLLC",07/16/2016,2613,Name; Social Security Number; Financial & Banking Information
08/22/2016,KontrolFreek,10/21/2015,625,Name; Financial & Banking Information
08/18/2016,Eddie Bauer,1/2/2016,73508,Name; Financial & Banking Information
8/12/2016,"Valley Anesthesiology Consultants, Inc.",03/30/2016,611,Name; Social Security Number; Health Insurance Policy or ID Number; Medical Information
8/5/2016,The Caroline Kline Galland Home,06/13/2016,12,Name; Social Security Number; Health Insurance Policy or ID Number; Medical Information
8/3/2016,Banner Health,06/17/2016,7916,Name; Social Security Number; Full Date of Birth; Medical Information; Other
07/19/2016,San Antonio Shoemakers,04/21/2016,511,Name; Financial & Banking Information
07/19/2016,CiCi Enterprises,3/1/2016,Unknown,Financial & Banking Information
07/16/2016,"NLU Products, LLC",4/1/2015,2527,Name; Financial & Banking Information; Other
7/8/2016,Omni Hotels and Resorts,12/23/2015,316,Financial & Banking Information
7/6/2016,Wendy's,12/2/2015,Unknown,Financial & Banking Information
06/28/2016,Noodles & Company,01/31/2016,Unknown,Financial & Banking Information
06/27/2016,Hard Rock Hotel & Casino Las Vegas,10/27/2015,Unknown,Financial & Banking Information
06/16/2016,Uber Technologies,05/13/2014,1355,Name; Driver's License or Washington ID Card Number
06/13/2016,The Tax Shack,05/27/2016,1000,Name; Social Security Number; Financial & Banking Information; Full Date of Birth
6/10/2016,Grand Sierra Resort,02/19/2014,1061,Name; Financial & Banking Information
6/8/2016,Mate1.com,10/1/2015,406080,Name; Username and Password/Security Question Answers; Other
6/6/2016,"Empathia, Inc.",,602,Name; Social Security Number; Full Date of Birth; Other
5/11/2016,Olympia School District,4/12/2016,2145,Name; Social Security Number; Financial & Banking Information; Other
5/10/2016,LendUp Processing Center,,708,Name; Social Security Number; Full Date of Birth; Email Address and Password/Security Question Answers; Other
5/10/2016,Ameris Bank,2/2/2016,1,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number
5/5/2016,CertifiKid LLC,01/25/2016,31,Name; Financial & Banking Information
5/2/2016,Kline Galland Home Care Services,4/4/2016,4,Medical Information
04/27/2016,AIM Inc.,,1639,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Military ID Number; Passport Number
04/18/2016,doTERRA International LLC,3/1/2016,41485,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Username and Password/Security Question Answers; Email Address and Password/Security Question Answers; Other
4/11/2016,"Schwaab, Inc.",01/22/2014,2162,Name; Financial & Banking Information
03/15/2016,Advance Auto Parts,3/7/2016,544,Name; Social Security Number; Financial & Banking Information; Other
03/14/2016,"Bailey's, Inc.",12/1/2011,8844,Name; Financial & Banking Information; Username and Password/Security Question Answers; Email Address and Password/Security Question Answers; Other
3/7/2016,Turner Construction Company,3/2/2016,566,Name; Social Security Number; Financial & Banking Information; Other
3/4/2016,21st Century Oncology,10/3/2015,2802,Name; Social Security Number; Health Insurance Policy or ID Number; Medical Information
2/9/2016,Health Care Authority,11/15/2013,91187,Name; Social Security Number; Full Date of Birth; Medical Information; Other
2/4/2016,"Gyft, Inc.",10/3/2015,9042,Name; Full Date of Birth; Email Address and Password/Security Question Answers; Other
01/29/2016,"Landry's, Inc.",5/4/2014,Unknown,Name; Financial & Banking Information
01/22/2016,Starwood Hotels and Resorts,,Unknown,Name; Financial & Banking Information
01/15/2016,MaineGeneral Medical Center,9/11/2015,77,Unknown
01/14/2016,Hyatt Hotels Corporation,08/13/2015,15,Name; Financial & Banking Information
01/13/2016,HSBC Bank USA,12/7/2015,5270,Name; Social Security Number; Financial & Banking Information; Other
12/31/2015,Regional Income Tax Agency,,38,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Other
12/23/2015,"Matson Navigation Company, Inc. and Horizon Lines",11/9/2015,2185,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Passport Number; Medical Information; Other
12/18/2015,"Yapstone, Inc.",07/15/2014,5264,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information
12/14/2015,PeaceHealth,06/15/2015,1405,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Other
11/30/2015,Muji,01/22/2015,664,Name; Financial & Banking Information; Other
11/24/2015,"Hilton Worldwide, Inc.",,Unknown,Name; Financial & Banking Information; Other
11/13/2015,Noble House Hotels and Resorts,12/29/2014,4555,Name; Financial & Banking Information
10/28/2015,"Digital Theatre, LLC",04/19/2015,3230,Name; Financial & Banking Information; Other
10/28/2015,Excellus Blue Cross,8/5/2015,1,Health Insurance Policy or ID Number; Other
10/13/2015,"Service Systems Associates, Inc.",03/24/2015,Unknown,Name; Financial & Banking Information
10/9/2015,Peggy Olson,9/2/2015,26,Name; Social Security Number; Other
10/1/2015,T-Mobile USA/Experian,09/15/2015,328889,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Military ID Number; Passport Number; Other
10/1/2015,Charles Schwab,08/25/2015,52,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Other
09/30/2015,"Scottrade Financial Services, Inc.",,18,Name; Other
09/29/2015,Rite Aid Corporation,08/20/2014,2721,Name; Financial & Banking Information; Email Address and Password/Security Question Answers; Other
09/26/2015,"Sterbick & Associates, P.S.",08/23/2015,500,Name; Social Security Number
09/22/2015,Costco,06/19/2014,29425,Name; Username and Password/Security Question Answers; Email Address and Password/Security Question Answers
09/18/2015,"Molina Healthcare of Washington, Inc.",03/26/2015,7767,Name; Medical Information; Other
9/9/2015,The Lifetime Healthcare Companies,12/23/2013,Unknown,Unknown
08/21/2015,"Olympia Hotel Management, LLC",,30,Name; Financial & Banking Information
08/18/2015,Web.com Group,,1595,Name; Financial & Banking Information; Other
8/11/2015,Sterling BackCheck,05/29/2015,1419,Name; Social Security Number; Full Date of Birth
,,,,
