BUSINESS NAME,START OF BREACH,END OF BREACH,DATE REPORTED,MONTANANS AFFECTED
Capital One,03/22/2019,03/23/2019,8/08/2019,585
Capital One,03/22/2019,03/23/2019,8/08/2019,737
"Miller Kaplan Arase, LLP",03/22/2019,03/22/2019,7/10/2019,7
Western Pathology,03/21/2019,03/21/2019,07/24/2019,2
Arizona Dermatopathology,03/21/2019,03/21/2019,07/24/2019,1
Seacoast Pathology,03/21/2019,03/21/2019,07/24/2019,1
"South Texas Dermatopathology, PLLC",03/21/2019,03/21/2019,07/24/2019,3
Laboratory Medicine Consultants,03/21/2019,03/21/2019,07/24/2019,100
Austin Pathology,03/21/2019,03/21/2019,07/24/2019,8
Intuit,03/21/2019,06/28/2019,07/26/2019,12
UnitedHealthcare,03/21/2019,03/28/2019,05/21/2019,5
"Greater Washington Educational Telecommunications Association, Inc.",03/20/2019,12/31/2019,3/12/2020,1
Mikhail Education Corporation,03/20/2019,03/26/2019,04/19/2019,1
City of Charlottesville,03/19/2019,04/22/2019,09/27/2019,2
Arthur J. Gallagher & Co.,03/15/2019,03/15/2019,11/26/2019,130
Humana,03/15/2019,05/21/2019,6/07/2019,1
Fix My Blinds,03/14/2019,6/12/2019,10/08/2019,96
Wise Health System,03/14/2019,03/14/2019,7/12/2019,62
Micro-Mom Scooters d/b/a Micro Kickboard,03/14/2019,04/25/2019,06/27/2019,4
Methodist Hospitals,03/13/2019,8/07/2019,10/04/2019,1
Bloodworks Northwest,03/13/2019,03/13/2019,5/08/2019,29
Dr. Gary W. Peer,03/13/2019,03/14/2019,04/19/2019,1
"Hood & Associates CPAs, PC",3/12/2019,03/24/2019,6/11/2019,2
Wor-Wic Community College,3/12/2019,3/12/2019,06/19/2019,2
Wolff Shoe Company,3/11/2019,10/21/2019,10/31/2019,8
Tessera Technologies Inc.,3/11/2019,03/15/2019,05/31/2019,1
BookShark LLC,3/11/2019,08/26/2019,10/25/2019,11
Calibre CPA Group,3/11/2019,5/07/2019,08/26/2019,219
National Education Association (NEA),3/11/2019,5/07/2019,08/28/2019,3
AAR Corp,3/10/2019,5/02/2019,8/06/2019,1
Cancer Treatment Centers of America,3/10/2019,3/11/2019,5/10/2019,34
Merrick Bank,3/08/2019,03/15/2019,4/12/2019,2
"KandyPens, Inc.",3/07/2019,02/13/2020,04/20/2020,142
Alfred University,3/07/2019,4/03/2019,2/11/2020,1
Colorado Eye Center,3/07/2019,3/07/2019,06/28/2019,4
Cornerstone Bank,3/07/2019,3/07/2019,6/03/2019,1
H&R Block,3/07/2019,3/07/2019,4/08/2019,1
Grinnell College,3/07/2019,3/07/2019,03/25/2019,9
Oberlin College,3/05/2019,3/05/2019,7/12/2019,1
Acrisure Heritage Insurance Agency (d.b.a) Filice Insurance Agency,3/05/2019,4/03/2019,05/31/2019,201
"Wawa, Inc",3/04/2019,12/12/2019,12/19/2019,Unknown
Redtail Technology Inc,3/04/2019,3/04/2019,05/23/2019,26
"RunSignUp, Inc.",3/04/2019,3/04/2019,04/18/2019,2
AeroGrow International Inc,3/04/2019,3/04/2019,4/04/2019,141
Kenra Professional,3/04/2019,3/04/2019,4/03/2019,2
Hamilton College,3/02/2019,3/04/2019,6/12/2019,1
Cable One,3/01/2019,5/01/2019,8/08/2019,1
Community Psychiatric Clinic,3/01/2019,05/29/2019,07/26/2019,1
H&R Block,3/01/2019,03/23/2019,5/08/2019,4
"Golden Entertainment, Inc",02/26/2019,04/29/2019,08/23/2019,27
Gaming Arts LLC,02/26/2019,02/26/2019,4/12/2019,1
Smooth-On and Reynolds Advanced Materials,02/24/2019,04/29/2019,05/21/2019,13
Eye Buy Direct Inc,02/24/2019,02/24/2019,03/18/2019,4
Hematology Oncology Associates PC,02/22/2019,02/28/2019,05/21/2019,6
IVDesk,02/21/2019,02/21/2019,09/13/2019,2
The Rural Broadband Association (NTCA),02/21/2019,02/26/2019,05/15/2019,6
Dr. T. Y. Steven Ip MD,02/20/2019,02/24/2019,04/18/2019,3
CafePress Inc.,02/19/2019,8/06/2019,9/04/2019,"49,515"
Intrepid Benefits Colorado,02/19/2019,03/29/2019,7/09/2019,4
JD Bank,02/19/2019,02/26/2019,06/17/2019,10
"EmCare, Inc",02/19/2019,02/19/2019,5/03/2019,27
FireKing Security Group LLC,02/18/2019,4/03/2019,08/19/2019,1
The Southeastern Council and Alcoholism on Drug Inc (SCADD),02/18/2019,4/02/2019,5/10/2019,2
Augustana College,02/18/2019,02/18/2019,5/07/2019,2
American Electric Power,02/18/2019,02/18/2019,04/26/2019,2
Coates Field Service,02/18/2019,02/18/2019,04/25/2019,2
Adams 12 Five Star Schools,02/15/2019,02/19/2019,8/09/2019,7
National Seating & Mobility,02/14/2019,3/12/2019,04/29/2019,1
Cremation Society of Pennsylvania Inc,02/14/2019,02/14/2019,03/15/2019,2
Aquionix Inc.,02/13/2019,04/18/2019,05/16/2019,2
Bel-Born Management d/b/a Village Hat Shop,02/13/2019,02/14/2019,04/24/2019,1
Jocor Enterprises d/b/a Volcano eCigs,02/13/2019,03/22/2019,04/16/2019,6
"Sage Advisors, LLC",2/12/2019,03/26/2019,6/06/2019,11
Canyon Bakehouse,2/12/2019,02/19/2019,4/09/2019,46
Cambria Hotel Nashville Downtown,2/11/2019,05/30/2020,08/14/2020,1
Bamboo HR LLC,2/11/2019,02/13/2019,3/04/2019,35
All American Entertainment,2/10/2019,2/10/2019,09/24/2019,4
National Wildlife Federation (Zoobooks.com),2/09/2019,12/10/2020,03/24/2021,518
James Perse Enterprises Inc,2/09/2019,02/21/2019,03/14/2019,2
"Akin Doherty Kein and Feuge, P.C. (ADKF)",2/08/2019,02/14/2019,05/14/2019,3
The Hartford Financial Services Group,2/07/2019,02/13/2019,4/12/2019,1
"Nasif, Hicks, Harris and Co LLP",2/06/2019,2/06/2019,03/26/2019,1
HintonBurdick CPA & Advisors,2/05/2019,3/05/2019,06/18/2019,5
HintonBurdick CPA & Advisors - Data Breach,2/05/2019,3/05/2019,5/10/2019,11
Gifted Development Center,2/05/2019,2/05/2019,03/29/2019,1
Saint Elizabeth Medical Center Inc,2/05/2019,2/05/2019,3/07/2019,1
"James A. Scott & Son, Inc.",2/04/2019,03/21/2019,12/10/2019,1
Color Street LLC,2/04/2019,2/04/2019,04/16/2019,2
DMB Sports Clubs d/b/a The Village Health Clubs & Spas,2/02/2019,3/05/2019,5/09/2019,1
Amsterdam Printing & Litho,2/01/2019,02/13/2019,05/14/2019,4
CM Group Holdings d/b/a Creative Memories,01/31/2019,02/14/2019,4/01/2019,8
Reese Henry & Company Inc,01/31/2019,01/31/2019,3/07/2019,2
Direct Scripts,01/30/2019,2/04/2019,02/22/2019,4
"Aquiline Holdings, LLC",01/28/2019,01/28/2019,10/29/2019,2
Brighton Collectibles LLC,01/28/2019,02/15/2019,03/22/2019,16
StatLab,01/26/2019,5/01/2019,7/01/2019,1
General Board of Higher Education and Ministry,01/25/2019,02/13/2019,5/10/2019,3
Intuit Inc,01/23/2019,2/05/2019,02/26/2019,6
Covenant Care California,01/22/2019,01/29/2019,3/06/2019,2
Riverplace Counseling Center,01/20/2019,01/20/2019,4/11/2019,1
Colgate University,01/19/2019,01/26/2019,4/11/2019,2
Carroll Saints Shoppe (PrismRBS),01/19/2019,01/26/2019,3/01/2019,7
Graf & Sons Inc.,1/19/2019,1/30/2019,2/06/2019,20
"JoFit, LLC",01/18/2019,5/12/2019,8/05/2019,10
CoffeeAM,01/16/2019,10/02/2019,12/06/2019,79
LPR Construction,01/16/2019,03/18/2019,05/31/2019,3
Huggins Insurance,01/16/2019,01/16/2019,05/24/2019,1
Environmental Graphics LLC d/b/a Murals Your Way,01/16/2019,2/03/2019,02/22/2019,1
Southern Hills Eye Care,01/15/2019,01/15/2019,03/15/2019,2
Combe Incorporated,01/15/2019,01/22/2019,02/28/2019,
American State Bank,01/14/2019,01/14/2019,03/26/2019,4
Deaf Services Unlimited,01/13/2019,01/24/2019,2/04/2020,3
Fellowship of Catholic University Students (FOCUS),01/13/2019,01/16/2019,03/29/2019,Unknown
Missouri Southern State University,1/09/2019,01/17/2019,06/13/2019,7
Centrelake Medical Group,1/09/2019,02/19/2019,04/16/2019,8
"Direct Distributors, Inc",1/09/2019,1/09/2019,02/21/2019,11
University of Mary,1/09/2019,01/30/2019,3/12/2019,5
Abbott Laboratories,1/09/2019,1/19/2019,2/06/2019,9
Kathmandu UK Limited,1/08/2019,2/12/2019,03/18/2019,Unknown
American Cancer Society Inc,1/08/2019,01/31/2019,3/01/2019,23
Immanuel Lutheran Communities,1/08/2019,1/09/2019,1/18/2019,80
"Katz, Sapper & Miller (KSM)",1/05/2019,1/05/2019,2/08/2019,6
St. Francis Physician Services,1/04/2019,1/04/2019,3/04/2019,2
National Wildlife Federation,1/03/2019,04/25/2019,05/24/2019,208
Quicken Inc.,1/01/2019,2/05/2021,02/19/2021,3
"Mowery & Schoenfeld, LLC",1/01/2019,4/01/2019,10/16/2019,1
Manning Silverman & Company,1/01/2019,02/28/2019,6/06/2019,1
Inmediata Health Group,1/01/2019,01/31/2019,04/30/2019,983
Graeter's Ice Cream,12/30/2018,06/13/2019,07/23/2019,12
Tempo Inc,12/23/2018,12/23/2018,03/21/2019,1
AG Source,12/22/2018,12/22/2018,03/22/2019,2
Nassau Educators Federal Credit Union,12/21/2018,03/14/2019,6/07/2019,7
Delta Dental of Illinois,12/21/2018,12/28/2018,04/16/2019,2
Superior Dental Care,12/21/2018,01/23/2019,03/25/2019,2
Rutland Regional Medical Center,12/21/2018,2/06/2019,3/12/2019,7
Windham,12/19/2018,1/17/2019,2/08/2019,1
Archbright,12/18/2018,02/20/2019,4/05/2019,4
TEMPTU Inc,12/18/2018,12/19/2018,3/04/2019,4
"Hy-Vee, Inc.",12/14/2018,8/02/2019,10/31/2019,39
Georgia Institute of Technology,12/14/2018,03/22/2019,05/22/2019,494
"Coeur Alaska, Inc",12/14/2018,12/17/2018,02/14/2019,31
Lutheran Life Communities,12/14/2018,12/14/2018,1/28/2019,2
Salt Life,12/12/2018,3/12/2019,5/03/2019,10
Oklahoma Department of Securities,12/11/2018,04/15/2019,05/15/2019,474
AZ Plastic Surgery Center,12/10/2018,12/10/2018,2/08/2019,4
Calista Corporation,12/09/2018,04/19/2019,6/06/2019,16
Pennsylvania Real Estate Investment Trust,12/08/2018,06/14/2019,11/04/2019,1
flexPATH Strategies LLC,12/07/2018,02/25/2019,03/15/2019,67
Memorial Hospital at Gulfport,12/06/2018,12/17/2018,06/14/2019,27
"Sheltered Wings, Inc.",12/06/2018,12/21/2018,02/19/2019,1
Memorial Hospital at Gulfport,12/06/2018,12/07/2018,02/15/2019,2
Auburn University,12/06/2018,12/06/2018,1/04/2019,2
L&M Fleet Supply,12/05/2018,01/21/2019,04/23/2019,53
"Aspire Financial Services, LLC",12/05/2018,1/17/2019,2/08/2019,1
University of Washington Medical Center (UWMC),12/04/2018,1/10/2019,02/20/2019,5717
Beacon Sales Acquisition Inc,12/03/2018,12/03/2018,3/07/2019,1
Med-data incorporated,12/01/2018,9/01/2019,03/31/2021,679
Capital One,12/01/2018,04/19/2019,10/11/2019,4
Humana,12/01/2018,12/04/2018,1/03/2019,4
Professional Golfers' Association of America,12/01/2018,12/28/2018,10/04/2019,2
Breckenridge Grand Vacations,12/01/2018,6/07/2019,6/10/2019,1
"Pershing, LLC",12/01/2018,06/30/2019,07/26/2019,9
Coinmama.com,12/01/2018,02/17/2019,4/05/2019,912
Wenner Group,12/01/2018,2/01/2019,03/21/2019,5
"Dr. DeLuca Dr. Marciano & Associates, P.C.",11/29/2018,11/29/2018,1/25/2019,1
"Real Estate Digital, LLC",11/27/2018,11/27/2018,1/10/2019,1
UCLA Health,11/26/2018,4/04/2019,4/05/2019,1
Backcountry Edge,11/24/2018,11/26/2018,12/11/2018,5
"Cambridge Healthcare Services, LLC",11/23/2018,12/05/2018,01/18/2019,3
"Transworld Oil U.S.A., Inc.",11/22/2018,4/06/2019,6/10/2019,1
EmployBridge,11/21/2018,11/21/2018,12/05/2018,1
"Heartland Food Products, LLC",11/19/2018,01/30/2019,1/11/2019,1
"Maritime Association--ILA Pension, Retirement, Welfare & Vacation Funds",11/19/2018,11/19/2018,02/20/2019,3
"Avis Budget Car Rental, LLC",11/16/2018,12/20/2018,12/19/2018,1
National Baseball Hall of Fame and Museum,11/15/2018,05/14/2019,2/02/2019,7
The Board of Trustees of Illinois State University,11/15/2018,11/15/2018,3/05/2019,1
Health Recovery Services,11/14/2018,2/05/2019,5/05/2019,1
Welders Supply,11/14/2018,12/06/2018,1/09/2019,8
Life Equity LLC,11/13/2018,01/16/2019,03/27/2019,2
"Five Below, Inc",11/13/2018,1/11/2019,02/14/2019,34
Free Speech Systems LLC (InfoWars),11/12/2018,11/13/2018,12/14/2018,11
"Ameriprise Financial Services, Inc.",11/11/2018,11/11/2018,12/21/2018,2
Oregon Endodontic Group,11/09/2018,11/13/2018,4/02/2019,1
MUFG Union Bank,11/09/2018,11/22/2018,12/07/2018,1
ZOLL Services LLC,11/08/2018,12/28/2018,03/18/2019,445
"RevolutionParts, Inc.",11/08/2018,11/09/2018,1/23/2019,7
Union Benefit Planners,11/07/2018,11/07/2018,4/10/2019,2
Spectrum Business Resources LLC,11/06/2018,1/08/2019,03/21/2019,1
"Sunquest Information Systems, Inc.",11/06/2018,11/06/2018,12/06/2018,2
"Bradley W. Orser, C.P.A., Inc., P.S.",11/06/2018,11/06/2018,1/11/2019,1
"Wausau MedMal Management Services, LLC (Wisconsin Health Care Liability Insurance Plan)",11/04/2018,12/05/2018,12/20/2018,1
"U.S. Bancorp Investments, Inc (USBI)",11/01/2018,11/06/2018,11/30/2018,57
Princess Polly Group Pty. Ltd.,11/01/2018,04/29/2019,6/06/2019,108
America Juice Co.,11/01/2018,11/30/2018,4/08/2019,8
"Kestra Investment Services, LLC",11/01/2018,11/01/2018,12/20/2018,2
LPL Financial LLC (LPL),11/01/2018,11/01/2018,1/17/2019,756
"Image-I-Nation Technologies, Inc.",11/01/2018,11/15/2018,2/08/2019,573
MoneyLine Lending,10/31/2018,9/11/2020,04/22/2021,1
General Dynamics Information Technology,10/31/2018,11/13/2018,12/28/2018,43
4 Ever Life Insurance,10/29/2018,11/13/2018,1/16/2019,2
Cherrydale Fundraising,10/28/2018,01/25/2019,03/14/2019,14
Hot Line Construction,10/25/2018,11/30/2018,04/24/2019,25
New York Life Insurance Company,10/23/2018,10/24/2018,11/08/2018,1
The Tax Specialists,10/21/2018,10/21/2018,11/23/2018,2
Luxe Energy LLC,10/19/2018,1/06/2020,04/21/2020,3
Oregon Institute of Technology,10/19/2018,10/23/2018,04/18/2019,4
"Data Facts, Inc. (Medaxion; O R Nurses Credentialing; Orgill)",10/19/2018,11/06/2018,12/20/2018,6
Northwestern Health Sciences University,10/16/2018,12/10/2018,05/21/2019,19
Marimekko,10/15/2018,10/18/2018,11/12/2018,10
Citrix Systems,10/13/2018,3/08/2019,04/29/2019,10
Julep Beauty,10/12/2018,10/16/2018,11/07/2018,4
Don Best Sports Corporation and DBS Canada Corporation (Scientific Games Corporation),10/12/2018,10/28/2018,2/06/2019,49
MMBB Financial Services,10/11/2018,10/17/2018,04/30/2019,2
Medtronic Minimed,10/11/2018,10/11/2018,11/21/2018,8
Western Technical College,10/10/2018,10/12/2018,03/21/2019,17
1-800 Contacts,10/10/2018,10/10/2018,11/16/2018,1
University of Vermont Health Network (Elizabethtown Community Hospital),10/09/2018,10/10/2018,12/17/2018,6
Nordstrom,10/09/2018,10/09/2018,11/05/2018,7
Valley Hope Association,10/09/2018,10/10/2018,1/18/2019,49
The National WWII Museum,10/06/2018,01/24/2019,06/21/2019,7
Sirchie Acquisition Company (Sirchie),10/05/2018,10/09/2018,11/05/2018,1
OrthoTexas Physicians and Surgeons,10/05/2018,10/05/2018,11/09/2018,1
Dunkin Brands Inc,10/05/2018,11/26/2018,11/28/2018,14
HSBC,10/04/2018,10/14/2018,11/09/2018,2
Impact Mobile Home Communities,10/03/2018,07/31/2019,5/05/2020,14
Prosper Funding LLC (Prosper),10/03/2018,10/16/2018,11/26/2018,17
Marquette Management,10/03/2018,10/04/2018,2/07/2019,1
Amateur Athletic Union (AAU),10/01/2018,7/02/2019,09/13/2019,"3,678"
Southwest Idaho Advanced Care Hospital,10/01/2018,10/31/2018,04/15/2019,1
Northern Idaho Advanced Care Hospital,10/01/2018,10/31/2018,04/15/2019,2
Northern Colorado Long Term Acute Hospital,10/01/2018,10/31/2018,04/15/2019,1
Elkhorn Valley Rehabilitation Hospital,10/01/2018,10/31/2018,04/15/2019,2
Advanced Care Hospital of Montana,10/01/2018,10/31/2018,04/15/2019,180
Ernest Health,10/01/2018,10/31/2018,04/15/2019,2
Weslaco Regional Rehabilitation Hospital,10/01/2018,10/31/2018,4/08/2019,1
Franciscan University of Steubenville,10/01/2018,10/15/2018,11/30/2018,3
"KMS Financial Services, Inc.",09/29/2018,11/05/2018,12/03/2018,1
"KMS Financial Services, Inc. (KMS)",9/29/2018,11/05/2018,12/03/2018,1
United States Liablity Insurance Company (USLI),9/28/2018,9/28/2018,10/11/2018,2
GoldSilver LLC,9/28/2018,11/20/2018,12/19/2018,6
"Robert Graham Designs, LLC",9/27/2018,11/07/2018,12/07/2018,1
US Bank,9/26/2018,9/27/2018,10/23/2018,1
JAND Inc. (Warby Parker),9/25/2018,11/26/2018,12/20/2018,77
American Medical Response,09/24/2018,09/25/2018,5/09/2019,1
Ameriprise Financial (Auto and Home),9/24/2018,,10/11/2018,1
Wolverine Solutions Group,09/23/2018,10/25/2018,12/27/2018,79
Dawn Food Products,09/23/2018,11/28/2018,05/24/2019,1
Net32,9/22/2018,9/25/2018,10/25/2018,32
Atrium Health,9/22/2018,9/29/2018,11/27/2018,230
Baylor Scott & White Medical Center - Frisco (BSWF),09/22/2018,09/29/2018,11/28/2018,3
Acrisure Heritage Insurance Agency,09/20/2018,09/20/2018,4/10/2019,2
Acadia Montana,09/18/2018,11/15/2018,05/17/2019,3543
LJCooper,9/18/2018,9/18/2018,10/29/2018,1
Protective Insurance Corporation,09/17/2018,09/17/2018,01/30/2019,1
Harvest Wealth,9/17/2018,9/18/2018,10/19/2018,5
Netrition,9/15/2018,9/17/2018,10/15/2018,5
Scrapbook.com,9/14/2018,9/17/2018,10/19/2018,4
Blauer Manufacturing Company,9/13/2018,9/25/2018,12/31/2018,3
Reliant Rehabilitation,9/13/2018,9/18/2018,1/16/2019,30
Byram Healthcare,9/12/2018,9/12/2018,10/22/2018,1
Wentworth Institute of Technology,9/08/2018,09/24/2018,02/19/2019,2
Washington Initiative for Supported Employment,9/08/2018,9/08/2018,11/14/2018,1
"Dr. Ben Lynch, LLC",9/08/2018,10/02/2018,12/17/2018,2
Aeroflow Inc.,9/07/2018,03/27/2019,05/17/2019,16
Northwestern Mutual,9/07/2018,9/10/2018,10/10/2018,1
COR Clearing LLC (COR),9/07/2018,9/07/2018,12/12/2018,1
Pie Five Pizza,9/06/2018,12/02/2018,4/05/2019,Unknown
"FirstLease, Inc",9/06/2018,11/29/2018,02/15/2019,1
Cigna,9/05/2018,9/24/2018,10/10/2018,6
HealthEquity,9/04/2018,10/05/2018,11/15/2018,2141
"Eye Buy Direct, Inc.",9/01/2018,09/29/2019,10/14/2019,2340
McNeese State University,9/01/2018,02/22/2019,7/03/2019,1
Yaculta Companies Inc,9/01/2018,11/15/2018,03/15/2019,5
Hemenway & Barnes LLP and Hemenway Trust Company (Hemenway),9/01/2018,9/01/2018,11/02/2018,1
"Benchmade Knife Co., Inc.",9/01/2018,10/10/2018,12/21/2018,27
Great Plains State Bank,08/28/2018,12/31/2019,03/25/2020,4
ImpactAssets,8/28/2018,8/29/2018,11/02/2018,24
"Harley-Davidson Motor company, Inc. (Harley-Davidson)",8/28/2018,9/10/2018,12/06/2018,2
RSC Insurance Brokerage Inc,08/23/2018,12/17/2018,3/01/2019,5
Children's Hospital of Philadelphia (CHOP),8/23/2018,8/24/2018,10/23/2018,1
Air Canada,8/22/2018,8/24/2018,8/29/2018,5
Wintrust Financial Corporation,8/22/2018,8/22/2018,9/28/2018,10
UConn Health,08/20/2018,08/27/2018,02/21/2019,17
Hats.com,8/18/2018,9/23/2018,11/14/2018,2
TDT CPAs,08/16/2018,08/24/2018,07/25/2019,1
Dental Center of Northwest Ohio,8/16/2018,9/18/2018,12/28/2018,3
"WESCO Distribution, Inc.",08/15/2018,7/01/2019,02/20/2020,2
"Evergreen Alliance Golf Limited L.P., d/b/a Arcis Golf",08/15/2018,2/04/2019,3/01/2019,17
Toyota Industries Group North America,8/15/2018,8/30/2018,10/01/2018,1
Walters and Mason Retail (Atalr'd State),8/15/2018,10/10/2018,11/30/2018,7
Legacy Properties,8/14/2018,8/14/2018,9/12/2018,1020
Five Below,8/14/2018,9/19/2018,10/05/2018,3
TravisMathew,8/13/2018,9/25/2018,10/25/2018,15
Newegg,8/13/2018,9/19/2018,11/15/2018,651
Okabena Company,8/12/2018,9/29/2018,10/12/2018,3
Discipleship Ministries,8/10/2018,12/14/2018,3/08/2019,1
International Society of Explosives Engineers (ISEE),8/09/2018,10/02/2018,10/26/2018,2
KLX Energy Services,8/08/2018,8/08/2018,9/08/2018,Unknown
Ameriprise Financial,8/07/2018,11/12/2018,02/27/2019,1
Sierra Nevada Brewing Company,8/07/2018,8/28/2018,8/28/2018,1
Beecher Carlson,8/07/2018,8/15/2017,12/11/2018,2
Port of Seattle,8/06/2018,8/06/2018,04/26/2019,1
Five Guys,8/06/2018,8/06/2018,11/02/2018,1
Ametros Financial Corporation,8/05/2018,05/31/2020,11/09/2020,19
"IBERIABANK Mortgage (Technology Management Resources, Inc.)",8/05/2018,05/31/2020,11/09/2020,2
"Bel USA, LLC (DiscountMugs.com)",8/05/2018,11/16/2018,12/31/2018,278
Mount Sinai Medical Center,8/02/2018,03/30/2019,8/02/2019,2
"Beverages & More, Inc. (BevMo)",8/02/2018,9/26/2018,12/17/2018,9
"Communities Connected for Kids, Inc. (CCK)",8/01/2018,03/15/2019,08/29/2019,20
"Sunrise Medical Laboratories, Inc",8/01/2018,03/30/2019,07/15/2019,16
American Esoteric Laboratories,8/01/2018,03/30/2019,07/15/2019,10
CBLPath,8/01/2018,03/30/2019,07/15/2019,11
"Natera, Inc.",8/01/2018,03/30/2019,07/15/2019,8
"Quest Diagnostics, Inc.",8/01/2018,03/30/2019,07/13/2019,7488
Laboratory Corporation of America Holdings (LabCorp),8/01/2018,03/30/2019,07/13/2019,4823
National Aviation Academy,8/01/2018,04/19/2019,06/20/2019,2
"Retrieval-Masters Creditors Bureau, Inc (d/b/a American Medical Collection Agency)",8/01/2018,05/30/2019,6/03/2019,7898
"Jobscience, Inc.",8/01/2018,08/21/2018,4/05/2019,"1,345"
Defenders Inc.,8/01/2018,8/31/2018,1/31/2019,6
Springstone Financial,7/27/2018,8/02/2018,12/14/2018,129
Upright Law LLC,7/27/2018,7/30/2018,1/25/2019,94
Bumblebee Batteries,07/25/2018,2/05/2019,3/07/2019,1
Welk Resort Group,07/24/2018,8/02/2018,02/22/2019,3
Mondelez Global,7/24/2018,7/26/2018,8/16/2018,1
YRC Worldwide,7/22/2018,7/22/2018,9/21/2018,22
"Applied Data Finance, LLC dba Personify Financial (ADF)",7/21/2018,11/09/2018,1/31/2019,2
DC International,07/20/2018,9/09/2018,11/05/2018,6
Auto Truck Kargo Equipment LLC,07/19/2018,1/10/2019,4/02/2019,11
"ESJ Towers, Inc",7/19/2018,7/18/2018,8/28/2018,2
Progress Bank,7/18/2018,7/18/2018,1/01/2019,1
Loyola University of Chicago,7/17/2018,7/17/2018,7/30/2018,1
American Medical Response (AMR),7/17/2018,7/17/2018,11/09/2018,3
"Health Management Concepts, Inc. Pacific National Benefits Funds",7/16/2018,7/19/2018,8/22/2018,17
College of Eastern Idaho (CEI),7/14/2018,9/12/2018,12/27/2018,2
T3 Micro Inc.,07/13/2018,03/17/2019,05/20/2019,27
Guardant Health,7/13/2018,7/18/2018,9/16/2018,2
Century Spring Corp.,7/13/2018,10/02/2018,1/08/2019,5
CNG Financial Corporation Inc,7/11/2018,7/16/2018,8/15/2018,4
Ohio Living,7/10/2018,07/19/2018,2/12/2019,2
First Financial Bank,7/10/2018,7/10/2018,9/21/2018,3
"Keeps.com (Thirty Madison, Inc.)",7/08/2018,07/31/2020,10/08/2020,1
"ALM Media, LLC",7/07/2018,12/24/2018,1/23/2019,3
Capital One,7/07/2018,11/08/2018,2/07/2019,8
Acadiana Computer Systems (ACS),7/06/2018,7/06/2018,8/17/2018,1
American Express Travel (Orbitz),7/05/2018,7/09/2018,8/02/2018,13
AEI Fund Management,7/05/2018,7/09/2018,9/28/2018,4
Lancaster Archery Supply,7/04/2018,4/03/2019,04/26/2019,454
Hourglass Cosmetics,7/03/2018,01/30/2019,02/15/2019,27
"Frontier Wealth Management, LLC (Frontier)",7/02/2018,8/14/2018,12/10/2018,4
Zoetop Business Co. Ltd. (ROMWE),7/01/2018,9/07/2020,12/30/2020,16522
Vitalize LLC,7/01/2018,4/12/2019,04/19/2019,11
Navicent Health,7/01/2018,01/24/2019,7/02/2019,11
LCP Transportation,7/01/2018,09/30/2018,03/20/2019,2
Envision,7/01/2018,7/31/2018,10/10/2018,16
Catawba Valley Medical Center (CVMC),7/01/2018,8/31/2018,10/23/2018,1
Simma Flottemesh & Orensteinin,6/28/2018,6/28/2018,7/19/2018,1
Reliable Respiratory (Reliable),6/28/2018,7/02/2018,10/23/2018,1
Graeter's Ice Cream,6/28/2018,12/17/2018,1/15/2019,15
Smith Freed & Eberhard,6/26/2018,6/26/2018,9/21/2018,1
The Wellness Institute of Montana and Jennings Management,6/22/2018,6/22/2018,8/23/2018,244
"Aetrex Worldwide, Inc.",6/22/2018,11/20/2018,1/17/2019,35
Northwest University,06/20/2018,06/20/2018,06/29/2018,29
Northwest University,6/20/2018,6/20/2018,6/29/2018,29
Maddison & Caison (M&C),6/20/2018,9/18/2018,9/28/2018,2
Florida Farm Bureau Casualty Insurance Company,06/15/2018,06/30/2018,10/05/2018,1
OnCourse Learning Corporation / Relias LLC,6/11/2018,02/26/2019,3/08/2019,17
United Hospital District,6/10/2018,6/27/2018,2/04/2019,3
Capital One,6/09/2018,7/23/2018,10/25/2018,8
"Carlson Building Maintenance, Inc.",6/08/2018,11/02/2018,05/31/2019,1
US Oncology Inc,6/07/2018,6/07/2018,5/09/2019,2
Tacony Corporation,6/07/2018,2/04/2019,04/30/2019,13
Authentic Recovery Center,6/07/2018,6/21/2018,8/15/2018,2
"Piech Sales Company, LLC (ValuePetSupplies.com)",6/07/2018,11/20/2018,12/07/2018,44
"Aimbridge Hospitality Holdings, LLC",6/07/2018,9/24/2018,12/31/2018,841
"Golden Lion Operations, Inc.",6/06/2018,9/08/2018,2/04/2019,13
RenPSG,6/05/2018,6/13/2018,10/18/2018,90
"Rosenberg & Manente, PLLC",6/05/2018,6/11/2018,11/30/2018,3
American Institute of Aeronautics and Astronautics (AIAA),6/04/2018,6/06/2018,8/07/2018,2
"Humana, Go365.com",6/03/2018,6/04/2018,6/21/2018,1
LÍLLÉbaby,6/01/2018,7/09/2018,8/28/2018,1
Shein,6/01/2018,8/22/2018,9/21/2018,Unknown
Folio Conversant (Folio),6/01/2018,10/11/2018,10/18/2018,1
"Star Title Partners of Palm Harbor, LLC (Star Title)",6/01/2018,6/04/2018,10/26/2018,2
"Centerstone Insurance and Financial Services, dba BenefitMall",6/01/2018,10/11/2018,1/04/2019,140
Oliver Companies,6/01/2018,6/30/2018,1/04/2019,1
The Unum Group / Colonial Life and Accident Insurance,6/01/2018,10/31/2018,1/18/2019,1
"RevUp Group, LLC",5/31/2018,5/31/2018,6/20/2018,20
