Name.of.Company,Date.of.the.Breach,Date.of.Notification,ME.Affected
Smartphone Experts,2013-07-12,2013-08-07,384
"F.C. Tucker Co., Inc. (Real Estate Agency in Indiana)",2013-06-26,2013-08-05,1
US Airways,2013-07-12,2013-08-02,NA
Auburn University,2013-06-19,2013-08-01,3
"Fidelity Investments, William Duserick, Chief Privacy Officer, 617-392-1224 (o/b/o Oracle Corporation)",2013-07-10,2013-07-31,33
"Ruby Tuesday, Inc.",2013-07-08,2013-07-23,2
"Huntington's Disease Society of America (""HDSA"")",2013-05-31,2013-07-22,1
"NYC Bike Share, LLC",2013-04-15,2013-07-17,1
Sentry Insurance,2013-07-02,2013-07-11,1
Hyundai Motor America,2013-05-24,2013-07-03,NA
"Primedia, Inc.",2012-06-20,2013-07-01,75
Bridgewater,2013-04-11,2013-06-28,2
Montana Ste University(MSU),2013-03-05,2013-06-13,8
Great Lakes Dredge & Dock Co. (GLDD),2013-04-28,2013-06-10,4
Harmonix,2013-04-01,2013-06-06,19
MassMutual Financial Group,2013-05-08,2013-06-04,2
ADP (Automatic Data Processing,2013-04-29,2013-06-04,353
"Primedia, Inc., k/n/a RentPath, Inc.(""Primedia"")",2012-06-20,2013-05-31,24
"Goldner Associates, Inc.",2013-05-16,2013-05-31,9
Champlain College,2013-03-18,2013-05-31,585
"TJG, Inc. d/b/a Target Marketing",2013-05-14,2013-05-29,1
Shumsky Promotional Agency,2013-05-14,2013-05-29,1
"Piedmont healthCare, P.A.",2013-05-03,2013-05-23,5
"Beachbody, LLC",2013-04-17,2013-05-23,80
USAA Federal Savings Bank,2013-03-30,2013-05-22,1
Bashas 015,2013-04-01,2013-05-21,1
Bashas 016,2013-04-01,2013-05-21,1
Bashas 037,2013-04-01,2013-05-21,1
Bashas SW #151,2013-04-01,2013-05-21,1
DAK 2000,2013-04-01,2013-05-21,1
Food City #108,2013-04-01,2013-05-21,1
Haagen-Dazs #1123,2013-04-01,2013-05-21,1
Laughstub LLC,2013-04-01,2013-05-21,11
Mamacitas San Antonio,2013-04-01,2013-05-21,1
Shoplet.com,2013-04-01,2013-05-21,37
Stethoscope.com,2013-04-01,2013-05-21,1
webstarts,2013-04-01,2013-05-21,6
The Edgewood Centre,2013-05-16,2013-05-20,14
"YourTel America, Inc.",2013-04-26,2013-05-13,51
PHH Corporation,2013-04-03,2013-05-10,60
LPL Financial,2013-04-24,2013-05-07,1
HIS,2013-02-22,2013-05-02,5
1st National Bank of Southern California,2013-02-01,2013-05-02,2
"Revana, Inc & TeleTech Services, Corp.",2013-04-08,2013-04-30,0
Pearl Izumi,2013-02-18,2013-04-29,5
"Living Social, Inc.",2013-04-05,2013-04-26,NA
Fabric Depot Inc,2013-03-01,2013-04-18,8
Sloppy Joes,2013-03-01,2013-04-18,4
The Artists Club,2013-03-01,2013-04-18,175
Iberdrola USA,2013-04-04,2013-04-16,993
"Stanley Black & Decker, Inc.",2013-01-28,2013-04-15,5
Chapman University,2013-02-27,2013-04-11,3
"The Vanguard Group, Inc.",2013-02-14,2013-04-10,2
CSC (Computer Sciences Corporation),2013-03-05,2013-04-03,343
"Ellison Systems, Inc. d/b/a Shoplet.com",2013-01-11,2013-04-02,632
"Tradebe Environmental Services, LLC",2013-03-20,2013-04-02,3
"Rollins, Inc.",2013-03-12,2013-03-27,37
"United Shore Financial Services, LLC",2012-12-02,2013-03-20,2
Tennis Express,2012-12-19,2013-03-20,44
"Anthem (Connextions, call center vendor for Anthem's Medicare business customer service)",2013-01-07,2013-03-20,1
Eighth Day Sound,2013-02-19,2013-03-19,1
Access Inmate Package,2013-02-01,2013-03-19,3
Applebees Clovis,2013-02-01,2013-03-19,4
Kor Water Inc,2013-02-01,2013-03-19,4
Marthas Country Bakery,2013-02-01,2013-03-19,1
Thread Pit Inc,2013-02-01,2013-03-19,11
Wilton Industries,2013-02-01,2013-03-19,15
Finish Line,2013-01-11,2013-03-15,33
University of Connecticut Health Center,2013-01-07,2013-03-11,1
"Innovative Beauty Inc., the company behind French Tip Dip",2013-02-27,2013-03-08,NA
Inova Health System,2013-02-08,2013-03-07,5
Lyons & Lyons PC (tax preparation company),2013-02-20,2013-03-05,1
Fabric Depot Inc,2012-10-16,2013-03-04,235
Rhode Island College,2013-02-05,2013-02-28,1
"Crescent Healthcare, Inc. (A Walgreens Company)",2012-12-28,2013-02-22,NA
"MassMutual Financial Group (3rd party service provider, Convey Compliance Solutions)",2013-01-30,2013-02-20,3
Anthony Travel Inc.,2013-01-01,2013-02-19,2
CT Farm Country Valubilt,2013-01-01,2013-02-19,19
Global Sugar Art,2013-01-01,2013-02-19,2
Hoegger Suply Inc,2013-01-01,2013-02-19,5
King Street Blues,2013-01-01,2013-02-19,1
Search Bug Inc.,2013-01-01,2013-02-19,1
Spring Hill,2013-01-01,2013-02-19,19
"Talk Fusion, Inc.",2013-01-01,2013-02-19,1
Republic Bank & Trust Company,2013-01-28,2013-02-19,5
GoDaddy.com,2013-01-30,2013-02-14,6
"Talk Fusion, Inc.",2012-12-13,2013-02-07,136
McGraw-Hill Companies,2013-01-16,2013-01-23,162
"Oldcastle APG, Inc.",2012-12-10,2013-01-02,48
"Whole Foods Market Group, Inc., 550 Bowie Street, Austin, TX 78703",2018-08-03,2018-10-31,3
"Fifth Third Bank, 38 Fountain Square Plaza, Cincinnati, OH  45140",2018-08-06,2018-10-26,1
Net32,2018-09-22,2018-10-25,25
"TravisMathew LLC, 15202 Graham Street, Huntington Beach, CA 92649",2018-08-13,2018-10-25,10
"Heartland Hotel Corporation, 4403 First Ave., SE Suite 114; Cedar Rapids, IA  52402",NA,2018-10-25,1
"STL International, Inc., d/b/a Teeter, 9902 162nd Street, Ct. E., Puyallup, WA 98375",2018-04-11,2018-10-25,68
"Avis Budget Portugal, Sovial - Sociedade de Viatruas de Aluguer, Lda., R. Prof. Fernando da Fonseca, Edificio Visconde De Alvalade, 6  piso, Lisboa, Portugal 01600-616",2018-04-04,2018-10-25,1
"GSI US, Inc., 1009 Lenox Drive, Suite 202, Lawrenceville, NJ 08648",2017-07-07,2018-10-24,331
"Reliable Respiratory, 1504 Boston Providence Highway, #11a, Norwood, MA  02062",2018-06-28,2018-10-24,29
"ShopStyle Inc., 800 Concar Drive, Suite 175, San Mateo, CA 94402",2018-04-16,2018-10-24,47
"TransUnion LLC, 555 W Adams Street, Chicago, IL 60661",2017-02-22,2018-10-23,396
Shein,2018-06-01,2018-10-17,NA
"Challenger Sports, Inc., 8263 Flint Street, Lenexa, KS  66214",2018-08-26,2018-10-22,463
"Scrapbook.com LLC, 1495 E. Baseline Road, Suite 102, Gilbert, Arizona, 85233",2018-09-14,2018-10-19,4
"Renaissance Pilanthropic Solutions Group (""RenPSG""), 8910 Purdue Road, Suite 500, Indianapolis, IN  46268",2018-06-05,2018-10-18,126
"Liquidity Services, Inc., 6931 Arlington, Road, Suite 200, Bethesda, MD 20814",2018-04-01,2018-10-12,1
Goody Tickets,2018-09-15,2018-10-11,1
"Commerce Bank, 320 Eagle Crest Drive, Ste. E, Evansville, Indiana 47715",2018-07-28,2018-10-10,2
"Envision Healthcare Corporation, 1A Burton Hills Blvd, Nashville, TN 37215",2018-07-01,2018-10-10,53
"Cigna, B6LPA, 900 Cottage Grove Road, Bloomfield, CT 06002",2018-09-05,2018-10-09,10
"Five Below, Inc., 701 Market Street, Suite 200, Philadelphia, PA 19106",2018-08-14,2018-10-05,17
"Health Fitness Inc. on behalf of its clients (Amedysis and MACTEC), 400 Field Drive, Lake Forest, IL 60045",2019-01-20,2018-10-05,16
"California State University East Bay, 25800 Carlos Bee Boulevard SA 4401, Hayward, CA  94542",2018-03-27,2018-10-05,3
"LeafFilter North, LLC, 1595 Georgetown Road, Hudson, OH 44236",2018-04-01,2018-10-04,3
"Shoe Station, Inc., 720 Executive Park Drive, Mobile, AL 36606",2018-07-14,2018-10-03,1
"Professional Publications, Inc., 1250 Fifth Avenue, Belmont, CA 94002",2017-03-09,2018-10-03,1
Lion Equity Partners,2018-04-02,2018-10-02,1
"Another Planet Entertainment, 1815 4th Street, Suite C, Berkeley, CA 94710",2018-04-09,2018-10-03,2
"The Coca-Cola Bottling Co. of Northern New England, 1 Executive Park Drive, Bedford, NH 03110-6913",2018-06-02,2018-09-28,28
"AEI Fund Management, Inc., 1300 Wells Fargo Place, 30 East Seventh Street, St. Paul, MN 55101",2018-07-05,2018-09-28,4
"Chegg, Inc., 3990 Freedom Circle, Santa Clara, CA  95054",2018-04-29,2018-09-26,75000
"Protravel International LLC, 515 Madison Avenue, 10 Floor, New York, NY",2017-10-25,2018-09-24,2
"Plant Therapy, Twin Falls, Idaho",2018-07-17,2018-09-21,15
"The Affiliated Group, 7381 Airport View Drive SW, Rochester, MN 55902",2017-11-01,2018-09-19,19
"Tauck, Inc., 10 Westport Road, Wilton, CT 06897",2018-02-01,2018-09-19,1
"Tech Rabbit LLC, 601 Lehigh Ave, Union, NJ 07083",2017-02-22,2018-09-19,139
"Garvey Schubert Barer, P.C., 1191 Second Avenue, Suite 1800, Seattle, WA 98101-2939",2017-10-21,2018-09-14,1
"Peaceful Valley Farm Supply, 125 Clydesdale Ct, Grass Valley, CA 95945",2018-02-09,2018-09-11,106
"Stein Mart, Inc., 1200 Riverplace Blvd., Jacksonville, Florida 32207",2018-05-19,2018-09-07,1
"Title Nine, 6201 Doyle Street, Emeryville, California, 94608",2018-05-19,2018-09-07,8
"North American Risk Services, Inc., PO Box 166002, Altamonte Springs, FL 32716-6002",2018-02-07,2018-09-04,5
"Movement Mortgage, LLC, 8024 Calvin Hall Road, Indian Land, SC 29707",2017-10-09,2018-08-31,7
"Bombas LLC, 37 E 18th St. 4th Floor, New York, NY 10003",2014-09-27,2018-08-31,175
"Richard Owen Nursery, Inc., P.O. Box 2999, Bloomington, IL 61702",2017-09-29,2018-08-30,113
"Garretson Resolution Group, Inc., 6281 Tri-Ridge Boulevard, Suite 300, Cincinnati, Ohio 45140",2018-04-04,2018-08-30,8
Surefire,2018-05-28,2018-08-29,9
"LILLEbaby, 700 12th Street, Suite 220, Golden, CO 80401",2016-06-01,2018-08-29,173
"NorthStar Anesthesia, 6225 State Highway 161, #200, Irving, TX 75038",2018-04-03,2018-08-28,1
"Orrstown Bank, 77 East King Street, Shippensburg, PA 17257",2017-10-02,2018-08-28,18
Cheddars Scratch Kitchen (Cheddar's),2017-11-03,2018-08-22,NA
"Munro & Company, 3770 Malvern Road, Hot Springs, AR  71901",2018-07-21,2018-08-21,2
"Eastern Maine Community College, 354 Hogan Road, Bangor, ME  (Notice of Possible Breach)",2018-06-25,2018-08-17,40590
"Hasbro, Inc., 1027 Newport Ave, Pawtucket, RI 02861",2017-09-15,2018-08-10,2
"Gridiron Inc, 1567 Lisbon Street, Lewiston, Maine 04240",2017-11-21,2018-08-06,NA
"American Express Travel Related Services, Company, General Counsel's Office, 200 Vesey Street, NY, NY 10285",2018-07-05,2018-08-02,17
Plant Therapy,2018-03-29,2018-07-30,77
Bank of Hope,2018-06-28,2018-07-30,1
"Yale (Office of the VP & General Counsel) PO Box 208255, New Haven, CT 06520-8255",2008-04-01,2018-07-27,557
"ABM Mechanical, Inc., 33 Dowd Road, Unit 1, Bangor, ME  04401",2018-05-09,2018-07-25,137
"Automated Pet Care Products, Inc., 2900 Auburn Court, Auburn Hills, MI 48326",2017-11-09,2018-07-25,8
"Trade Motion, 7400 Wilshire Pl. Drive, Houston, TX 77040",NA,2018-07-24,286
"Optoma Technology, Inc., 47697 Westinghouse Drive, Suite 100, Fremont, CA 94538",2018-04-06,2018-07-24,2
"NorthStar Anesthesia, 6225 State Highway 161, #200, Irving, TX 75038",2018-04-03,2018-07-20,8
"ComplyRight, Inc.",2018-04-20,2018-07-13,1695
"Helly Hansen AS, Munkedamsveien 35, 6 fl, N-0250, 1653 Vika, N-120 Oslo",2018-04-20,NA,17
"The City o Bozeman, Montana, 121 N. Rojuse Ave, Bozeman, MT 59715",2017-07-01,2018-07-16,3
"EBSCO Sign Group, LLC, 5724 Highway 280 East, Birmingham, AL  35242",2017-09-12,2018-07-16,11
"The Fruitful Yield, Inc., 244 Knollwood Drive, Bloomingdale, IL 60108",2018-05-29,2018-07-11,3
"Appian Way Energy Partners, LLC, 25 Mount Auburn St., Suite 400, Cambridge, MA 02138",2018-06-12,2018-07-16,1
"Tommie Copper Inc., 74 South Moger Avenue, Mount Kisco, NY 10549",2017-11-10,2018-07-11,112
"MedEvolve, 115 W 3rd Street, Little Rock, AR 72201",2018-03-29,2018-07-10,66
"Village of Wellington, 12300 Forest Hill Blvd, Wellington, FL 33414",2017-11-28,2018-07-06,1
"The Iremedy Healthcare Companies Inc., 2862 SE Monroe St, Stuart, FL 34994",2017-10-01,2018-07-06,3
"The Information and Referral Federation of Los Angeles County dba 211 LA County, 526 West Las Tunas Drive, San Gabriel, CA 92776",2018-03-14,2018-07-05,10
Macy's,2018-04-26,2018-07-02,299
"Rochester Institute of Technology, 13 Lomb Memorial Drive, Rochester, NY 14623",2017-06-05,2018-07-02,1
"Coty, Inc. ",2018-01-12,2018-07-03,NA
"SGS North America, Inc., 201 Rout 17 North, Rutherford, NJ 070707",2018-02-26,2018-06-29,1
"Northwest University , 5520 108th Ave., N.E., Kirkland, WA 98033",2018-02-12,2018-06-29,1
"Hasbro, Inc., 1027 Newport Ave, Pawtucket, RI 02861",2017-09-15,2018-06-28,1
"Dollar Shave Club Inc., 13335 Maxella Avenue, Marina del Rey, CA 90292",2018-05-26,2018-06-27,8
Thomas Chandler Thomas & Hinshaw LLP,2018-02-15,2018-06-22,3
"L'Occitane, Inc., d/b/a L'Occitane en Provence (L'Occitane), 1430 Broadway, NY, NY 10018",2018-05-18,2018-06-21,1
Dakine Inc,2018-05-01,2018-06-20,2
Makeup Geek,2018-05-01,2018-06-20,2
National Stores DBA Fallas,2018-05-01,2018-06-20,2
Sporty's Catalogs,2018-05-01,2018-06-20,2
Titan Distributors,2018-05-01,2018-06-20,2
www.artnaturals.com,2018-05-01,2018-06-20,2
Manchester Capital Management LLC,2017-05-01,2018-06-18,6
"GreatBanc Trust Company, 801 Warrenville Road, Suite 500, Lisle, IL 60532",2017-10-23,2018-06-15,10
"My Heritage Ltd, 3 Ariel Sharon Street, Or Yehuda, Israel 60250",2017-10-26,2018-06-15,90293
"The City of Goodyear Arizona, 190 N. Litchfield road, Goodyear, AZ 85338",2017-06-13,2018-06-12,2
"ShopPOPdisplays, Inc.",2018-04-08,2018-06-11,5
"Total Phase, Inc., 2350 Mission College Blvd, Suite 1100, Santa Clara, CA 95054",2018-03-02,2018-06-08,15
Securus Technologies Inc.,2018-05-15,2018-06-08,5
"Aimbridge Hospitality Holdings, LLC, 5851 Legacy Circle Drive, Suite 400, Plano, TX 75024",2018-01-08,2018-06-07,16
"HRB Digital, 1 H&R Block Way, Kansas City, MO 64105",2018-03-05,2018-06-07,1
"PLAE INC, 220 Montgomery St., Suite 860, San Francisco, CA 94104",2018-03-15,2018-06-04,32
Walgreen Company,2017-12-20,2018-06-01,NA
Stein Eriksen Lodge Hotel,2017-09-09,2018-06-01,3
"Temecula Motorsports, Inc., 26860 Jefferson Ave., Murrieta, CA 92562",2018-02-09,2018-05-31,14
"Rail Europe SAS, Les Collines de l'Arche, Immeuble Concorde B, 76 route de la Demi-Lune, Puteaux, France 92800",2017-06-15,2018-05-30,11
"Chattanooga Clothing Company, 1500 Chestnut St., Suite D, Chattanooga, TN 37408",2017-10-26,2018-05-30,1
"St. Mary's Health, Inc., dba St. Vincent Evansville, 3700 Washington Ave., Evansville, IN 47714",NA,2018-05-30,6
"PrintingCenterUSA.com, 117 9th Street, N., Great Falls, MT 59401",2018-01-01,2018-05-29,10
SEIULocal 32BJ - Incident Notification,2017-11-13,2018-05-25,7
"Pendleton Square Trust Company, 3803 Bedford Ave., Suite 105, Nashville, TN 37215",2018-02-26,2018-05-25,3
"Luxury Retreats, 5530 St. Patrick Street, Suite 2210, Montreal, Quebec, Canada H4E1A8",2017-09-07,2018-05-24,1
"National Railroad Passenger Corporation (Amtrak), 1 Massachusetts Avenue, N.W., Suitge 635, Washington, DC 20001",2017-10-01,2018-05-23,12
"Pinnacle Advisory Group Inc., 6345 Woodside Court, Suite 100, Columbia, MD 21046",2018-03-20,2018-05-21,1
"Stephen J Flood CPA, PLLC, 950 New Loudon Road #107, Latham, NY 12110",2015-07-26,2018-05-21,1
Brinker International,2018-03-01,2018-05-18,NA
"Corporation Service Co., 251 Little Falls Drive, Wilmington, DE 19808",2017-11-25,2018-05-17,51
"Cable Hill Partners LLC, 806 SW Broadway, Suite 1000, Portland, OR 97205",2018-01-10,2018-05-16,989
"SP Industries Inc, 935 Mearns Road, Warminster, PA 18974",2018-02-09,2018-05-13,1
"Global University, 1211 S. Glenstone Ave., Springfield, MO 65804",2017-12-31,2018-05-08,371
"Sears Holdings Management Corporation, 3333 Beverly Road, Hoffman Estates, IL 60179",2017-09-27,2018-05-08,511
"Ramy Brook LLC, 231 W. 39th Street, Suite 720, NY, NY 10018",2018-03-08,2018-05-02,1
Bennett & Thrasher,2017-06-15,2018-05-02,1
"The National Restaurant Association, 2055 L Street, NW, Suite 700, Washington, DC 20036",2017-09-02,2018-04-30,1
McMahon Thompson & Associates,2017-12-02,2018-04-27,1
"MedWatch, LLC, 120 International Parkway, Suite 216, Lake Mary, FL 32746",2017-10-20,2018-04-27,3
"CPT Group Inc., 50 Corporate Drive, Irvine, CA 92606",2017-11-22,2018-04-27,627
"Rail Europe North America, Inc., 333 Westchester Ave., 2nd Floor, West Building, SuiteW2200, White Plains, NY 10604",2017-11-29,2018-04-27,70
"Cetera Advisors, LLC, 4600 South Syracuse Street, Suite 600, Denver, CO 80237",2017-11-08,2018-04-26,61
"Southwest Airlines Co., 2702 Love Field Drive, Dallas, Texas 75235",2017-10-01,2018-04-20,55
"W.W. Grainger, Inc., 100 Grainger Parkway, Lake Forest, IL 60045",2017-09-26,2018-04-20,110
"Strategic Analysis, Inc., 4075 Wilson Blvd, Suite 200, Arlington, VA 22203",2015-04-20,2018-04-19,2
"Eastern Bank, 265 Franklin Street, Boston, MA 02110",2018-03-09,2018-04-18,4
"Temp-Tations Home LLC d/b/a ""Tara at Home"", 180 Gordon Drive, Suite 103, Exton, PA 19341",2017-08-01,2018-04-16,28
"Delta Air Lines, Inc., 1030 Delta Boulevard, Atlanta, GA 30354",2017-09-26,2018-04-13,2827
"Best Buy Co., Inc.",2017-09-26,2018-04-13,NA
"Inogen, Inc., 326 Bollay Drive, Goleta, CA 93117",2017-12-09,2018-04-13,84
"PF@-Com, Inc., 8 Campus Drive, 2nd Floor, Parsippany, NJ 07054",2018-02-20,2018-04-12,3
"Mise En Place Restaurant Services, Inc, 1639 11th Street, Suite 107, Santa Monica, CA 90404",2018-03-06,2018-04-11,3
"BTCE, Inc. d/b/a HomeBrewIt.com",2017-09-26,2018-04-11,8
"Delta Air Lines, ",2017-09-26,2018-04-11,2827
"IIS Financial Services, 707 Sable Oaks Drive, Suite 203, South Portland, Maine 04106",2017-08-01,2018-04-10,1
"Blue Beacon International, 500 Graves Blvd., Salina, Kansas 67401",2018-01-29,2018-04-06,5
"Interval International Inc, 6262 Sunset Drive, Miami, FL 33143",2016-01-01,2018-04-04,5
"The Lincoln National Life Insurance Company, 1300 S. Clinton Street, Fort Wayne, IN 46802",2018-01-28,2018-04-02,4
"Applied Plan Administrators. A dovosopm pf the Retirement Advantage, Inc., 101 East Grand Ave., Suite 16, Port Washington, WI 53074",2018-02-10,2018-03-28,16
"Fred Usinger, Inc. ",NA,2018-03-28,NA
"JC Penney Corp., Inc.",2017-04-01,2018-03-27,3
"Bigfoot Gun Belts, ",2017-10-31,2018-03-23,12
"Manduka, 2121 Park Place, Suite 250, El Segundo, CA 90245",2017-02-22,2018-03-27,240
"Teal Becker & Chiaramonte, CPAs, PC, 7 Washington Square, Albany, NY 12205",2017-11-29,2018-03-23,9
"American Express Travel Related Services, Company, General Counsel's Office, 200 Vesey Street, NY, NY 10285",2016-01-01,2018-03-22,880
"Orbitz, 500 W. Madison Street, 7th Floor, Chicago, IL 60661",2017-10-01,2018-03-20,749
"OnePlus Technology (Shenzhen) Co., Ltd., 18/F, Block C, Tairan Building, No. 8 Tairan Rd., Futian District, Shenzhen, Guangdong, China 518000 (China)",2017-11-01,2018-03-19,22
Bronson Nutritionals LLC,2017-05-15,2018-03-19,110
"Clarfeld Financial Advisors, 520 White Plains Road, Tarrytown, NY 10591",2018-02-22,2018-03-16,1
"Island Outdoor, LLC, 47 Mall Drive, Suite 4, Commack, NY 11725",2017-11-01,2018-03-15,4
"Rotary International, One Rotary Center, 1560 Sherman Avenue, Evanston, IL 60201",2017-06-01,2018-03-13,2
"California  State University, 5241 N. Maple Ave., Fresno, CA 93740",2017-12-01,2018-03-06,3
"Interstate Plastics, Inc., 330 Commerce Circle, Sacramento, CA 95815",2017-10-27,2018-03-06,6
"Citizens Financial Group, 100 Sockanosset Crossroad, Cranston, RI 02920 (email)",2018-02-02,2018-03-05,2
Preferred Hotels & Resorts,2016-06-01,2018-03-02,12
"Ventiv Technology, Inc., 3350 Riverwood Parkway, 20th Floor, Atlanta, GA 30339",2017-10-14,2018-03-01,2
"FastHealth Corporation, 1001 23rd Ave., Suite C, Tuscaloosa, AL 35401",2017-08-14,2018-02-27,881
Boulder Running Co.,2018-01-01,2018-02-26,3
"Direct Sports, Inc.",2018-01-01,2018-02-26,2
Makeup Certifications,2018-01-01,2018-02-26,2
Market@work 2067379149,2018-01-01,2018-02-26,1
The Re-Think Group,2018-01-01,2018-02-26,3
Wet N Wild Beauty,2018-01-01,2018-02-26,8
"Bed Bath & Beyond, Inc., 650 Liberty Avenue, Union, NJ 07083",2017-11-08,2018-02-26,1
"Cruzstar LLC, 453 Lincoln Street, Suite 102, Carlisle, PA 17013",2017-11-05,2018-02-22,NA
"Active Network, 717 North Harwood Street, Suite 2500, Dallas, TX 75201",2016-12-13,2018-02-23,1
"LendKey Technologies, Inc., 104 W 27th Street, Floor 4, NY, NY 10001",2016-06-27,2018-02-15,32
"Norwich Commercial Group, Inc., d/b/a Norcom Mortgage (""Norcom""), 38 Security Drive, Avon, CT 06001",2017-10-12,2018-02-14,13
"Bed Bath & Beyond, Inc., 650 Liberty Avenue, Union, NJ 07083",2017-11-21,2018-02-13,1
OneMain Financial,2017-09-01,2018-02-09,2
"Ameriprise Financial, Inc., 707 2nd Ave. S., Minneapolis, MN 55474",NA,2018-02-08,4
"Investment Professionals, Inc., 16414 San Pedro Ave., Suite 300, San Antonio TX 78232",2016-11-01,2018-02-07,1
"1st Mariner Bank, 3301 Boston Street, Baltimore, MD 21224",2017-09-21,2018-02-05,8
"Advanced Graphic Products, Inc. d/b/a Advanced-Online, 750 Gateway Blvd, Coppell, TX 75019",2017-04-29,2018-02-02,58
"The Valerie Fund, 2101 Millburn Avenue, Maplewood, NJ 07040",2017-03-02,2018-02-02,1
"Ventiv Technology, Inc., 3350 Riverwood Parkway, 20th Floor, Atlanta, GA 30339",2017-10-14,2018-02-01,1
"Pentair Aquatic Eco Systems, Inc., 2395 Apopka Blvd, Apopka, FL 32703",2017-12-19,2018-01-26,3
Rosewood Hotel Group,2016-05-29,2018-01-19,8
"Mindlance, Inc., 1095 Morris Ave., Suite 101A, Union, NJ 07083",2017-12-28,2018-01-19,3
"Employer Leasing Company, 12375 Kerran Street, Poway, CA 92064",2017-09-14,2018-01-18,1
"Guaranteed Rate, Inc., 3940 N. Ravenswood, Chicago, IL 60613",2017-06-09,2018-01-12,557
"PetSmart, Inc., 19601 N. 27th Avenue, Phoenix, AZ 85027",2017-12-19,2017-12-22,NA
"Broward College, 111 East Las Olas Boulevard, Fort Lauderdale, FL 33301",2017-07-18,2018-01-10,15
"Northeast Arc, 1 Southside Road, Danvers, MA 01923",2017-03-01,2018-01-05,3
"Sunshine Lady Humanitarian Grants Program Inc., dba Letters Foundation, 292 Newbury Street, Suite 503, Boston, MA 02115",NA,2017-12-27,3
"Retina-X Studios, LLC, 731 Duval Station Road, Suite 107203, Jacksonville, FL 32218",NA,2017-12-19,9
"Dun & Bradstreet, Inc., 103 JFK Parkway, Short Hills, NJ 07078",2017-04-01,2017-12-19,1
"Connecticut Players Foundation, Inc., d/b/a Long Wharf Theatre, 222 Sargent Drive, New Haven, CT 06511",2017-01-31,2017-12-18,1
HK Parts,2017-11-01,2017-12-15,6
The Eastwood Company,2017-11-01,2017-12-15,56
"New Penn Financial LLC, 4000 Chemical Road, Suite 200, Plymouth Meeting, PA 19462",2017-09-05,2017-12-15,1
"WEI Mortgage, LLC, 4000 Midlantic Drive, Suite 102, Mount Laurel, NJ 08054",2017-09-13,2017-12-08,34
MFTstamps.com; ,2017-06-22,2017-12-07,14
"Hayden, Narey & Persich, 2340 S El Camino Real, #15, San Clemente, CA 92672",2017-07-03,2017-04-12,1
"JAM Paper & Envelope, 185 Legrand Avenue, Northvale, NJ 07647",2016-06-15,2017-12-01,132
"IH Mississippi Valley Credit Union (""IHMVCU"") 2121 47th St., Moline, IL 61265",2017-08-30,2017-12-01,2
"Grass Advantage, LLC (d/b/a Amazing Grass), 230 Newport Center Drive, Ste 300, Newport Beach, CA 92260",2017-09-11,2017-11-30,6
"Nutrex Hawaii, Inc.",2017-07-26,2017-11-29,1
"Randolph Savings Bank, 10 Cabot PL, Stoughton, MA 02072",2017-10-01,2017-11-21,3
"Uber Technologies, Inc., 1455 Market Street, San Francisco, CA 94103",2016-10-13,2017-11-21,381
"JRK Hotel Group, 1176 Wilshire Boulevard, Ste. 1500, Los Angeles, CA 90025",2016-08-10,2017-11-20,4
"GCI Communications Corp., 2550 Denali Street, Suite 1000, Anchorage, AK 99503-2751",2015-07-01,2017-11-13,1
"Gallagher NAC, 16476 Wild Horse Creek Road, Chesterfield, MO 63017",2017-06-18,2017-11-13,47
"Memory4Less, 1504 W. Commonwealth Ave., Fullerton, CA 92833",2016-11-01,2017-11-06,4
"Wilbraham, Lawler & Buba, ",2017-09-19,2017-11-03,NA
"Rain Bird Corporation, 970 West Sierra Madre Ave., Azusa, CA 91702",2017-08-25,2017-11-01,5
"Southern National Bancorp of Virginia, Inc., d/b/a Sonabank, 10900 Nuckols Road, Suite 325, Glen Allen, VA 23060",2017-06-24,2017-10-31,8
"Home Box Office, Inc., 1100 Avenue of the Americas, New York, NY 10036",2017-05-15,2017-10-30,NA
"Interstate Plastics, Inc., 3299 Ramos Circle, Sacramento, CA 95827",2017-05-29,2017-10-25,16
"LightHouse Management Services, LLC d/b/a Home Properties, 300 Clinton Square, Rochester, NY 14606",2017-07-19,2017-10-20,1
"Whole Foods Market Services, Inc., 550 Bowie Street, Austin, TX 78703",2017-03-10,2017-10-20,NA
"C&K Properties d/b/a Corsetti's, 125 Bridgton Road, Westbrook, ME 04092",2017-05-01,2017-10-19,NA
Atlantis Paradise Island,2017-09-01,2017-10-19,2
Innoas Inc.,2017-09-01,2017-10-19,1
Villa JTM 10 Internet Sales,2017-09-01,2017-10-19,1
Walk in the Word-E Com,2017-09-01,2017-10-19,6
Way.com,2017-09-01,2017-10-19,43
"BMT Designers & Planners, Inc; 4401 Ford Avenue, Suite 1000, Alexandria, VA 22302",2016-02-01,2017-10-16,8
"Pizza Hut, LLC, 7100 Corporate Drive, Plano, TX 75024",2017-10-01,2017-10-16,38
Spark Pay Online (firner subsidiary of Capital One),2017-03-10,2017-10-16,147
"West Music Company, Inc., 1212 5th Street, Coralville, IA 52241",2017-07-21,2017-10-13,2
"PressureParts, Inc., 7820 L. Street, Omaha, NE 68127",2017-09-13,2017-10-13,1
"Hyatt Hotels Corp, 71 South Wacker Drive, 12th Floor, Chicago, IL 60606",2017-03-18,2017-10-12,19
