Name.of.Company,Date.of.Breach,Reported.Date,state,State.Residents.Affected
Acceler8,2020-04-01,2020-06-22,MT,1
McKinney & Company,2020-04-01,2020-06-02,MT,4
Gulf Coast State College (GCSC),2020-03-31,2020-09-29,MT,9
Raymond James,2020-03-31,2020-09-04,MT,4
"VanOrdern, Lund & Cannon, PLLC",2020-03-31,2020-06-01,MT,5
"Young, Molohan, Cohen & Durrett, LLP",2020-03-31,2020-06-22,MT,2
Angeion Group,2020-03-30,2020-12-04,MT,53
First National Bank of Elmer,2020-03-30,2020-08-20,MT,2
CBD Industries,2020-03-30,2020-09-29,MT,172
Shingobee Builders,2020-03-27,2020-10-07,MT,1
Mental Health Partners,2020-03-26,2020-08-21,MT,6
Douglas Products,2020-03-26,2020-08-12,MT,2
Gering Public Schools,2020-03-25,2021-03-24,MT,1
Latah County Idaho,2020-03-25,2020-08-07,MT,1
Daniel Bendetowicz MD PA,2020-03-25,2020-04-24,MT,2
Squar Milner LLP,2020-03-25,2020-04-17,MT,6
Goodspeed & Merrill d/b/a Rome LLC,2020-03-23,2021-01-22,MT,7
Hawkes Hastings & Aaron,2020-03-23,2020-06-01,MT,1
"Wealth Enhancement Group, LLC",2020-03-22,2020-07-22,MT,3
Woodlawn Dental Center,2020-03-19,2020-05-18,MT,1
Moorestown Visiting Nurse Association,2020-03-19,2020-05-07,MT,2
Lincoln Financial Advisors,2020-03-19,2020-04-16,MT,4
Kankakee Valley School Corporation,2020-03-19,2020-06-04,MT,2
Fredrikson & Byron,2020-03-18,2020-10-05,MT,5
Ameriprise Financial,2020-03-18,2020-04-02,MT,1
"Jim Geddings, CPA LLC",2020-03-17,2020-04-10,MT,5
Community Food Co-op,2020-03-16,2020-09-11,MT,56
Glacier Surgical Associates,2020-03-16,2020-08-25,MT,2
"Mat-Su Surgical Associates, APC",2020-03-16,2020-05-15,MT,15
"Windes, Inc.",2020-03-13,2020-07-28,MT,1
"Masterfeeds, Inc.",2020-03-13,2020-06-12,MT,8
Icahn Automotive Group LLC,2020-03-13,2020-05-06,MT,8
ExecuPharm Inc.,2020-03-13,2020-03-16,MT,1
Jamaica National Group Limited and Jamaica National Bank,2020-03-13,2020-03-30,MT,3
"The Hotel Group Holdings, LLC",2020-03-12,2020-10-15,MT,22
"Dick Blick Holdings, Inc.",2020-03-11,2021-09-01,MT,82
City of Philadelphia,2020-03-11,2021-04-14,MT,2
Washington State Bar Association,2020-03-10,2020-12-18,MT,18
NuVista Federal Credit Union,2020-03-09,2020-12-03,MT,37
Applications Software Technology LLC,2020-03-09,2020-03-16,MT,1
"Jasper Seating Company, Inc.",2020-03-08,2020-08-25,MT,1
Reedman Toll Auto World,2020-03-08,2020-05-13,MT,1
"Jackson, Murdo, & Grant, P.C.",2020-03-07,2020-09-21,MT,117
BJC Healthcare,2020-03-06,2020-06-12,MT,14
"Rogue & Co., LLC",2020-03-06,2020-05-29,MT,7
"Karr Barth Administrators, Inc.",2020-03-06,2020-06-11,MT,1
Matrix Absence Management,2020-03-06,2020-03-20,MT,1
The College of Health Care Professions,2020-03-05,2021-03-30,MT,2
St. Paul Center for Biblical Theology,2020-03-03,2020-10-02,MT,23
Woodruff Sawyer & Co.,2020-03-02,2020-11-09,MT,23
"Combe, Inc.",2020-03-02,2020-08-26,MT,8
Slate & Tell,2020-03-01,2021-04-02,MT,136
Reliant Federal Credit Union,2020-03-01,2021-02-02,MT,114
"TAM International, Inc.",2020-03-01,2021-01-29,MT,1
Evarts Termaine Flicker Co.,2020-03-01,2020-12-23,MT,1
"Bruce L. Boros, M.D., P.A. DBA Advanced Urgent Care",2020-03-01,2020-11-06,MT,37
City of Torrance,2020-03-01,2020-10-13,MT,8
Sisters of the Presentation of the Blessed Virgin Mary,2020-03-01,2020-04-30,MT,4
W.L. Contractors,2020-02-29,2020-03-30,MT,3
UW Health,2020-02-28,2020-04-23,MT,1
Keith Fabry (PDFPlotting.com),2020-02-27,2020-10-05,MT,20
Meridian Health Services Corp.,2020-02-27,2020-04-27,MT,7
"Bailard, Inc.",2020-02-25,2020-07-11,MT,2
"Shoup Manufacturing Company, Inc.",2020-02-24,2020-05-01,MT,1
Eagle Community Credit Union,2020-02-24,2020-06-23,MT,9
Coastal States Bank,2020-02-22,2020-07-24,MT,2
Grande Ronde Hospital,2020-02-19,2020-06-03,MT,4
The City of Fort Lauderdale,2020-02-19,2020-05-01,MT,2
Capital Brands,2020-02-19,2020-04-29,MT,8
Tellepsen,2020-02-19,2020-04-15,MT,1
The Nature Conservancy,2020-02-19,2020-03-17,MT,1
"JM Bullion, Inc.",2020-02-18,2020-10-28,MT,115
"Parkview Health System, Inc.",2020-02-18,2020-10-12,MT,4
Graham Hospital Association,2020-02-18,2020-10-07,MT,1
BankNorth,2020-02-18,2020-09-17,MT,6
Spencer Municipal Hospital,2020-02-18,2020-04-24,MT,1
Interstates,2020-02-18,2020-06-04,MT,2
Compass Health,2020-02-18,2020-05-26,MT,6
PCL Constructors Inc.,2020-02-18,2020-05-14,MT,7
"MBS Textbook Exchange, LLC",2020-02-18,2020-04-30,MT,6
"Fareway Stores, Inc.",2020-02-18,2020-04-16,MT,9
"MP Environmental Services, Inc.",2020-02-18,2020-04-15,MT,37
"BGGMC, LLC - Data Breach",2020-02-18,2020-03-13,MT,4
American College of Medical Genetics and Genomics,2020-02-15,2020-08-13,MT,1
Farmers & Merchants National Bank of Nashville,2020-02-13,2020-07-24,MT,1
"Wolff Principal Holdings, LP",2020-02-13,2020-07-17,MT,1
Society for Industrial and Applied Mathamatics,2020-02-13,2020-07-06,MT,3
"Timberline Billing Service, LLC",2020-02-12,2020-10-20,MT,1
Freeport Regional Healthcare Foundation,2020-02-12,2020-07-31,MT,20
The Northshore Utility District,2020-02-12,2020-04-01,MT,1
PupBox,2020-02-11,2020-10-02,MT,102
"Kline, Keppel & Koryak, P.C.",2020-02-11,2020-08-13,MT,83
"Würkforce, Inc.",2020-02-11,2020-08-03,MT,3
Florida Engineers Management Corporation,2020-02-11,2020-05-27,MT,1
Duben & Associates,2020-02-11,2020-05-26,MT,8
Osceola County,2020-02-10,2021-05-17,MT,2
"Alliant Security, Inc.",2020-02-10,2020-12-07,MT,1
"Gaming Arts, LLC",2020-02-09,2021-04-08,MT,3
Marines' Memorial Association & Foundation,2020-02-07,2021-04-06,MT,20
Chadron State Foundation,2020-02-07,2021-04-06,MT,114
Montana Technical University Foundation,2020-02-07,2021-04-02,MT,113
Christendom College,2020-02-07,2021-03-31,MT,5
Maryknoll School,2020-02-07,2021-03-24,MT,1
St. Agnes Academy (Blackbaud),2020-02-07,2021-03-24,MT,1
Xavier High School (Blackbaud),2020-02-07,2021-03-08,MT,2
La Jolla Country Day School (Blackbaud),2020-02-07,2021-03-02,MT,4
Denver Dumb Friends League (Blackbaud),2020-02-07,2021-02-24,MT,2
Holderness School,2020-02-07,2021-03-01,MT,7
International Medical Corps,2020-02-07,2021-02-26,MT,19
Trinity Christian College (Blackbaud),2020-02-07,2021-02-17,MT,1
Craig Hospital Foundation (Blackbaud),2020-02-07,2021-02-15,MT,1
The National WWII Museum,2020-02-07,2021-02-12,MT,1
Fort Hays State University Foundation (Blackbaud),2020-02-07,2021-02-12,MT,102
Laurel School (Blackbaud),2020-02-07,2021-02-10,MT,1
San Francisco Conservatory of Music (Blackbaud),2020-02-07,2021-01-29,MT,2
St. Andrew's-Sewanee School,2020-02-07,2021-01-28,MT,3
Hebron Academy,2020-02-07,2021-01-27,MT,1
Light of Christ Catholic Schools (Blackbaud),2020-02-07,2021-01-25,MT,6
St. Paul’s School (Blackbaud),2020-02-07,2021-01-21,MT,46
Fairmont Private School (Blackbaud),2020-02-07,2021-01-19,MT,2
Helen Keller International (Blackbaud),2020-02-07,2021-01-19,MT,2
Ronald McDonald House of Dallas (Blackbaud),2020-02-07,2021-01-14,MT,4
Wesleyan Christian Academy (Blackbaud),2020-02-07,2021-01-14,MT,2
Archer School for Girls,2020-02-07,2021-01-13,MT,3
New Hampton School,2020-02-07,2021-01-11,MT,3
Alzheimer’s Association (Blackbaud),2020-02-07,2021-01-11,MT,1
Hardin-Simmons University (Blackbaud),2020-02-07,2021-01-08,MT,5
Kents Hill School (Blackbaud),2020-02-07,2021-01-07,MT,2
"Florida Gulf Coast University Foundation, Inc. (Blackbaud)",2020-02-07,2021-01-04,MT,3
Notre Dame Preparatory School and Marist Academy,2020-02-07,2021-01-04,MT,1
Liberty Christian School (Blackbaud),2020-02-07,2020-12-30,MT,5
Darlington School (Blackbaud),2020-02-07,2020-12-30,MT,3
College of St. Scholastica (Blackbaud),2020-02-07,2020-12-29,MT,3
Beebe Medical Center (Blackbaud),2020-02-07,2020-12-24,MT,5
St. John’s Jesuit High School & Academy (Blackbaud),2020-02-07,2020-12-23,MT,2
Friends Seminary (Blackbaud),2020-02-07,2020-12-18,MT,3
St. Hilda’s & St. Hugh’s School (Blackbaud),2020-02-07,2020-12-16,MT,1
Foxcroft School (Blackbaud),2020-02-07,2020-12-11,MT,1
The National WWII Museum (Blackbaud),2020-02-07,2020-12-11,MT,2
Blair Academy (Blackbaud),2020-02-07,2020-12-09,MT,4
Madeira School (Blackbaud),2020-02-07,2020-12-04,MT,3
University of South Dakota Foundation (Blackbaud),2020-02-07,2020-12-04,MT,7
Florida State College at Jacksonville Foundation (Blackbaud),2020-02-07,2020-11-30,MT,51
Southern College of Optometry (Blackbaud),2020-02-07,2020-11-27,MT,4
Meals on Wheels of Albuquerque (Blackbaud),2020-02-07,2020-11-23,MT,1
Wisconsin Evangelical Lutheran Synod (Blackbaud),2020-02-07,2020-11-19,MT,13
Proctor Academy (Blackbaud),2020-02-07,2020-11-06,MT,1
Wheeler Mission (Blackbaud),2020-02-07,2020-11-19,MT,1
Hathaway Brown (Blackbaud),2020-02-07,2020-11-19,MT,1
Princeton Day School (Blackbaud),2020-02-07,2020-09-29,MT,1
The Bowery Mission (Blackbaud),2020-02-07,2020-11-17,MT,1
"Franciscan Health Foundation, Inc. (Blackbaud)",2020-02-07,2020-11-13,MT,5
Lakes and Prairies Community Action Partnership (Blackbaud),2020-02-07,2020-11-10,MT,1
St. Sebastian’s School (Blackbaud),2020-02-07,2020-08-11,MT,1
Planned Parenthood of Northern New England (Blackbaud),2020-02-07,2020-11-02,MT,1
Rady's Children's Hospital - San Diego,2020-02-07,2020-10-30,MT,6
"Special Olympics Wisconsin, Inc. (Blackbaud)",2020-02-07,2020-10-30,MT,5
The Latin School of Chicago,2020-02-07,2020-10-30,MT,1
OSF HealthCare System,2020-02-07,2020-10-19,MT,6
Greenfield Community College,2020-02-07,2020-10-19,MT,15
Stamford Hospital,2020-02-07,2020-10-15,MT,1
Lexington Theological Seminary (Blackbaud),2020-02-07,2020-10-13,MT,4
ADRA International (Blackbaud),2020-02-07,2020-09-29,MT,18
"ZERO, The End of Prostate Cancer (Blackbaud)",2020-02-07,2020-10-14,MT,11
The Thatcher School (Blackbaud),2020-02-07,2020-10-06,MT,4
Georgia Southern University (Blackbaud),2020-02-07,2020-10-09,MT,68
American Symphony Orchestra League (Blackbaud),2020-02-07,2020-10-05,MT,357
Stetson University (Blackbaud),2020-02-07,2020-10-02,MT,52
NorthShore University HealthSystem (Blackbaud),2020-02-07,2020-09-04,MT,10
Heifer Project International,2020-02-07,2020-08-21,MT,1850
UWM - Foundation,2020-02-07,2020-08-20,MT,1
Enloe Medical Center (Blackbaud),2020-02-07,2020-09-10,MT,4
Saint Luke's Foundation,2020-02-07,2020-08-20,MT,62
Medical University of South Carolina (Blackbaud),2020-02-07,2020-09-11,MT,9
The Christ Health Hospital Network,2020-02-07,2020-09-14,MT,9
UnityPoint Health,2020-02-07,2020-09-14,MT,4
Perez Art Museum Miami (Blackbaud),2020-02-07,2020-09-05,MT,1
Scholarship America (Blackbaud),2020-02-07,2020-09-09,MT,4
The University of South Carolina Upstate Foundations,2020-02-07,2020-09-14,MT,3
Children's Home Society of Washington (Blackbaud),2020-02-07,2020-09-04,MT,2
Hydrocephalus Association (Blackbaud),2020-02-07,2020-09-04,MT,44
Children's Cancer Association,2020-02-07,2020-07-07,MT,1
World Vision U.S. (Blackbaud),2020-02-07,2020-08-27,MT,5
Atrium Health,2020-02-07,2020-09-01,MT,9
University of Florida Health,2020-02-07,2020-08-12,MT,11
"The City of Athens, Ohio",2020-02-07,2020-08-12,MT,9
Select Express & Logistics,2020-02-07,2020-08-04,MT,2
Youth Entrepreneurs,2020-02-07,2020-08-04,MT,44
Ketterer Company,2020-02-07,2020-06-24,MT,19
Community Development Bank,2020-02-07,2020-06-22,MT,6
Advantage Capital Funding,2020-02-06,2020-09-04,MT,26
"University of Maryland Faculty Physicians, Inc.",2020-02-06,2020-07-24,MT,3
"Empire Golf Management, Inc.",2020-02-04,2020-07-31,MT,1
Arkansas Teacher Retirement System,2020-02-04,2020-05-08,MT,6
"Rudnik Surety, Inc.",2020-02-04,2020-06-01,MT,1
District Medical Group,2020-02-04,2020-05-08,MT,4
Blue Cross Blue Shield Association,2020-02-04,2020-03-30,MT,5
University of Utah,2020-02-03,2020-05-19,MT,10
General Electric Company,2020-02-03,2020-03-20,MT,11
Northern Idaho Advanced Care Hospital,2020-02-03,2020-04-15,MT,12
Advanced Care Hospital of Southern New Mexico,2020-02-03,2020-04-15,MT,1
Advanced Care Hospital of Montana,2020-02-03,2020-04-15,MT,22
ENGIE North America Inc.,2020-02-03,2020-02-19,MT,1
"U.S. Restaurants, Inc.",2020-02-02,2020-07-21,MT,12
Archbishop Moeller High School,2020-02-01,2020-10-16,MT,1
STRATA Trust Company,2020-02-01,2020-06-19,MT,36
"CU Collections, LLC",2020-02-01,2020-06-18,MT,1
"Woods & Woods, LLC",2020-02-01,2020-03-10,MT,87
Affordacare Urgent Care Clinics,2020-02-01,2020-03-30,MT,15
"Informatics, Inc.",2020-01-31,2020-05-04,MT,1
Elk Ridge Dentistry,2020-01-31,2020-03-02,MT,3
University of Minnesota Physicians,2020-01-30,2020-11-25,MT,199
Mid-Delaware Imaging,2020-01-30,2020-07-14,MT,2
Mabrey Bank,2020-01-30,2020-05-27,MT,8
Orchard Medical Consulting,2020-01-30,2020-05-05,MT,2
Brody Wilkinson PC,2020-01-29,2020-09-22,MT,1
Otis R. Bowen Center for Human Services,2020-01-28,2020-03-02,MT,4
Cygnus Home Service,2020-01-28,2020-02-28,MT,53
RailWorks Corporation,2020-01-27,2020-02-27,MT,11
Southwest Airlines Pilots' Association,2020-01-25,2020-04-17,MT,2
Sekure Merchant solutions,2020-01-24,2020-09-03,MT,132
Thomas Cuisine,2020-01-24,2020-07-10,MT,71
"Codal, Inc.",2020-01-24,2020-06-30,MT,2
ADP,2020-01-24,2020-02-19,MT,2
"Renew Wellness Center, PLLC",2020-01-23,2020-03-23,MT,726
Dent Wizard International,2020-01-22,2020-08-10,MT,8
Open Sky Wilderness Therapy,2020-01-22,2020-07-23,MT,13
Sceptre Hospitality Resources,2020-01-22,2020-05-22,MT,5
Ambry Genetics Corporation,2020-01-22,2020-04-17,MT,608
"Nature's Way Brands, LLC",2020-01-20,2020-03-27,MT,1
Stockdale Radiology,2020-01-17,2020-04-06,MT,1
"Tandem Diabetes Care, Inc.",2020-01-17,2020-03-17,MT,815
"Granicus, LLC",2020-01-16,2020-03-02,MT,1
"Orascom Constuction USA, Inc.",2020-01-15,2020-06-15,MT,5
Tablerock Holdings,2020-01-14,2020-09-11,MT,7
"OTR Leasing, LLC",2020-01-14,2020-07-28,MT,35
"Endeavor Energy Resources, L.P.",2020-01-14,2020-02-20,MT,3
"Ohnstad Twitchell, P.C.",2020-01-13,2020-06-10,MT,2
Lakeland Community College - Data Breach,2020-01-13,2020-04-13,MT,5
Westcor Land Title Insurance Company,2020-01-12,2020-08-25,MT,6
Providence St. Joseph Health,2020-01-12,2020-06-19,MT,1
Lancaster Archery Supply,2020-01-10,2020-02-21,MT,58
"Synergi Partners, Inc.",2020-01-09,2020-08-03,MT,1
Artech,2020-01-05,2020-09-04,MT,18
Overseas Service Corporation,2020-01-04,2021-03-10,MT,1
"Verigent, LLC",2020-01-03,2020-07-17,MT,3
HydroChem LLC,2020-01-03,2020-02-19,MT,2
Insurance Recovery Group,2020-01-02,2020-02-20,MT,4
Therapia Staffing,2020-01-01,2020-05-27,MT,1
Advocate Aurora Health,2020-01-01,2020-02-20,MT,26
"Plano Synergy Holdings, Inc.",2019-12-28,2020-04-01,MT,1
"Oostra Rouw & Associates, Inc.",2019-12-26,2020-01-31,MT,1
Bimba LLC,2019-12-24,2020-04-09,MT,5
The Electrical Training Institute,2019-12-23,2020-06-29,MT,2
"Gullett Holdings, Inc.",2019-12-23,2020-02-26,MT,2
"CNY Works, Inc.",2019-12-21,2020-06-25,MT,9
YMCA of Columbia-Willamette,2019-12-19,2020-03-27,MT,1
National Institute for Automotive Service Excellence,2019-12-18,2020-03-31,MT,34
M&T Bank,2019-12-17,2020-07-10,MT,2
American Medical Technologies,2019-12-17,2020-06-18,MT,28
Centerstone of Indiana,2019-12-12,2020-10-22,MT,1
"Nutramax Laboratories, Inc.",2019-12-12,2020-03-27,MT,1
Health Care Service Cooperation,2019-12-12,2020-03-06,MT,3
Wells Fargo,2019-12-11,2020-07-10,MT,2
Prime Communications,2019-12-11,2020-05-18,MT,1
"Armstrong Oil & Gas, Inc.",2019-12-11,2020-05-01,MT,1
Anthem,2019-12-11,2020-02-21,MT,1
"Stripe GEP, Inc.",2019-12-11,2019-12-31,MT,4
Desoto Imaging Specialists,2019-12-10,2020-10-16,MT,1
"APISource, Inc.",2019-12-09,2020-05-04,MT,4
EMC National Life Company,2019-12-08,2020-03-04,MT,19
HUD Federal Credit Union,2019-12-06,2020-02-24,MT,1
Positec Tool Corporation,2019-12-06,2020-03-03,MT,5
Overlake Medical Center & Clinics,2019-12-06,2020-02-07,MT,109
"Massey Services, Inc.",2019-12-06,2020-01-24,MT,24
Waters & Kraus LLP,2019-12-05,2021-01-13,MT,36
Meadville Medial Center Area Hospital,2019-12-05,2020-03-06,MT,3
"Wahl Law Firm, PLLC",2019-12-04,2020-04-02,MT,470
"BST & Co. CPAs, LLP",2019-12-04,2020-02-14,MT,5
Atria Wealth Solutions,2019-12-03,2020-05-07,MT,6
Witchita State University,2019-12-03,2020-03-10,MT,355
Pioneer Railcorp,2019-12-02,2020-06-09,MT,1
Hajoca Corporation,2019-12-02,2020-03-18,MT,13
"Rooster Teeth Productions, LLC",2019-12-02,2019-12-17,MT,4
Des Moines Area Community College,2019-12-01,2020-11-30,MT,1
Wells Fargo Bank,2019-12-01,2020-07-10,MT,2
Freedom Financial Network,2019-12-01,2020-03-31,MT,3
Legalinc Corporate Service Inc.,2019-12-01,2020-01-15,MT,9
TripleTree Holdings LLC,2019-12-01,2019-12-18,MT,1
North 40 Outfitters,2019-11-27,2020-07-17,MT,96
American Outdoor Brands Corporation,2019-11-27,2020-01-09,MT,1
Paramount Bank,2019-11-26,2020-06-23,MT,28
T-Mobile USA - Data Breach,2019-11-26,2020-03-02,MT,1
T-Mobile USA,2019-11-26,2020-03-10,MT,1
"TrueDialog, Inc.",2019-11-26,2020-02-13,MT,1
Principal Financial Group,2019-11-23,2020-04-28,MT,86
"H. Beck, Inc.",2019-11-20,2019-12-03,MT,2
New York Legal Assistance Group (NYLAG),2019-11-19,2020-09-01,MT,1
"Dogeared, Inc.",2019-11-19,2020-05-28,MT,4
Sweaty Betty Limited,2019-11-19,2019-12-13,MT,8
"ShopRunner, Inc",2019-11-18,2019-12-12,MT,7
"McKissock Investment Holdings, LLC",2019-11-16,2020-05-01,MT,2
BBVA USA,2019-11-15,2020-02-12,MT,1
HelloTech,2019-11-15,2019-12-13,MT,6
glassybaby LLC,2019-11-15,2019-12-02,MT,4
St. Michael's College,2019-11-13,2020-06-04,MT,1
"Altice USA, Inc.",2019-11-13,2020-02-06,MT,1078
National Education Association (NEA),2019-11-13,2020-01-21,MT,6
SmokingPipes.com,2019-11-13,2019-12-16,MT,1
Nationwide Mutual Insurance Company,2019-11-13,2019-11-27,MT,1
"Community Solutions, Inc.",2019-11-11,2020-06-15,MT,1
Central Kansas Orthopedic Group,2019-11-11,2020-02-06,MT,2
"Jambav, Inc.",2019-11-11,2019-12-22,MT,4177
Evolucion Innovations Inc. (evo),2019-11-08,2019-12-31,MT,573
"AAA Northern California, Nevada & Utah (AAA NCNU)",2019-11-07,2019-12-20,MT,3
Viking Partners LLC,2019-11-06,2020-01-16,MT,1
Lifesprk LLC,2019-11-05,2020-03-17,MT,1
Idaho Central Credit Union,2019-11-05,2020-02-07,MT,15
Spectrum Healthcare Partners,2019-11-05,2020-01-13,MT,3
Ottawa Kent Insurance Agency,2019-11-04,2020-06-05,MT,2
"MediaRadar, Inc.",2019-11-04,2020-02-25,MT,1
Pacific Guardian Life Insurance Co. Ltd.,2019-11-04,2020-02-17,MT,12
"Swift Financial, LLC",2019-11-04,2020-01-10,MT,1
"RGT Wealth Advisors, LLC",2019-11-02,2020-12-21,MT,3
"Ferris Marketing, Inc. (Night Owl)",2019-11-01,2020-07-31,MT,48
PEF Services LLC,2019-11-01,2020-02-24,MT,1
The American Kennel Club,2018-11-01,2019-07-05,MT,2
"Enerco Group, Inc.",2019-10-31,2020-03-23,MT,27
Alomere Health,2019-10-31,2020-01-03,MT,15
"Car Wash Partners, Inc.",2019-10-30,2020-05-27,MT,3
Murdoch's Ranch & Home Supply,2019-10-29,2020-04-13,MT,45
Good Samaritan Hospital,2019-10-28,2020-07-01,MT,29
FRB Federal Credit Union,2019-10-27,2020-04-24,MT,5
Children's Choice Pediatrics,2019-10-27,2019-12-16,MT,2
Comiskey & Company,2019-10-26,2020-08-03,MT,7
AFTRA Retirement Fund,2019-10-24,2020-02-25,MT,411
Tablet Inc.,2019-10-24,2020-02-24,MT,3
Zenith Global Logistics,2019-10-24,2019-12-19,MT,2
Cadence Aerospace,2019-10-24,2019-11-20,MT,2
Bainville School District,2019-10-23,2019-12-04,MT,120
Zerbee,2019-10-22,2020-03-20,MT,13
Braintrust Software LLC dba The Braintrust Consulting Group,2019-10-21,2020-01-15,MT,1
Michigan State University,2019-10-19,2020-08-13,MT,5
Nelnet,2019-10-18,2019-10-31,MT,1
"INTEGRIS Baptist Medical Center, Inc.",2019-10-17,2020-05-29,MT,3
Cargolux Airlines International,2019-10-17,2019-12-06,MT,5
"Ray Insurance Agency, Inc.",2019-10-16,2020-04-27,MT,3
"NS Leasing, LLC",2019-10-16,2020-04-06,MT,43
Nesnah Ventures,2019-10-16,2020-02-24,MT,1
"Yount, Hyde & Barbour, P.C.",2019-10-15,2020-05-27,MT,2
"Travel Tripper, LLC",2019-10-15,2020-01-24,MT,4
National Rural Health Resource Center,2019-10-14,2019-12-09,MT,2
Current Reviews for Nurse Anesthetists,2019-10-13,2019-12-05,MT,2
"The UPS Store, Inc.",2019-10-11,2019-11-27,MT,2
Tailored Brands,2019-10-10,2020-10-26,MT,11
The NOCO Company,2019-10-08,2021-05-18,MT,43
The Centers for Advanced Orthopaedics,2019-10-08,2021-03-25,MT,6
Ozark Orthopaedics,2019-10-08,2020-03-05,MT,1
Moss Adams LLP,2019-10-08,2019-12-19,MT,12
The Center for Neurological and Neurodevelopmental Health,2019-10-07,2020-01-21,MT,1
Macy's,2019-10-07,2019-11-14,MT,250
"Securities Service Network, LLC",2019-10-04,2020-02-19,MT,1
McPherson College,2019-10-03,2020-07-09,MT,7
TRP Sumner PLLC,2019-10-02,2020-03-17,MT,1
Metabolic Maintenance Products,2019-10-01,2021-09-16,MT,161
"Metabolic Maintenance Products, Inc.",2019-10-01,2020-12-22,MT,88
Assist Wireless,2019-10-01,2020-10-12,MT,1
"Total Quality Logistics, LLC",2019-10-01,2020-03-25,MT,25
AmeriSave Mortgage Corporation,2019-10-01,2020-01-03,MT,8
ACTIVE Network,2019-10-01,2019-12-30,MT,1
Baylor Genetics,2019-10-01,2019-12-24,MT,1
"TDC Virginia Benefits & Risk Management, Inc.",2019-09-30,2019-12-06,MT,1
"Continental Finance Company, LLC",2019-09-30,2019-10-07,MT,1
"The UPS Store, Inc.",2019-09-29,2020-01-20,MT,70
Hallier Benefit Advisors,2019-09-26,2020-01-15,MT,1
Blue Cross Blue Shield,2019-09-28,2019-12-12,MT,54
Sark Technologies LLC,2018-09-23,2019-08-01,MT,180
Blauer Manufacturing Company,2019-09-26,2019-11-22,MT,7
Baylor Genetics,2019-09-24,2020-09-14,MT,202
State of North Dakota,2019-09-23,2020-10-27,MT,73
"Frobenius, Conaway & Company, P.C.",2019-09-23,2020-02-20,MT,2
Elizabeth Family Health,2019-09-23,2019-11-22,MT,51
Mutual of Omaha Bank,2019-09-23,2019-10-22,MT,1
Endicott College,2019-09-21,2019-10-24,MT,1
Entercom Communications Corp.,2019-09-18,2020-07-24,MT,3
C. C. Filson Co.,2019-09-18,2019-11-18,MT,4
Legg Mason Global Asset Management,2019-09-18,2019-11-18,MT,1
"Concorde Asset Management, LLC",2019-09-17,2020-06-17,MT,27
Steele County,2019-09-17,2020-02-21,MT,6
A&S Construction Co.,2019-09-16,2020-01-29,MT,1
Hanna Andersson LLC,2019-09-16,2020-01-15,MT,559
Auto Approve,2019-09-15,2019-10-28,MT,173
"Aptevo Therapeutics, Inc.",2019-09-13,2019-10-16,MT,1
National Holdings Corporation,2019-09-11,2019-12-10,MT,11
Sunrise Community Health,2019-09-11,2019-12-05,MT,1
Nutraceutical Wellness Inc.,2019-09-11,2019-10-11,MT,53
Walmart,2019-09-10,2019-10-17,MT,1
State Bar of Michigan,2019-09-09,2019-09-09,MT,1
"Volusion, LLC",2019-09-07,2020-04-20,MT,1944
"SharesPost, Inc.",2019-09-06,2019-12-20,MT,20
"PKF, LLP",2019-09-05,2019-10-15,MT,1
Bluegreen Vacations,2019-09-05,2019-10-01,MT,1
Alliant Insurance Services,2019-09-04,2020-10-02,MT,5
"Sunshine Behavioral Health Group, LLC",2019-09-04,2020-01-21,MT,21
Cook Wealth Management,2019-09-04,2019-12-20,MT,3
LifeMark Securities Corp.,2019-09-04,2019-11-19,MT,15
InterMed,2019-09-04,2019-11-05,MT,5
Toyota Financial Services,2019-09-04,2019-10-03,MT,5
"Lincoln County, South Dakota",2019-09-03,2020-03-19,MT,1
"Pleasant Wealth, LLC.",2019-09-03,2019-12-23,MT,3
Pen Factory,2019-09-01,2020-06-05,MT,50
"U.S. Xpress Enterprises, Inc.",2019-09-01,2020-04-10,MT,6
"J.D. England Management, Inc.",2019-08-31,2020-01-17,MT,160
Aurora Water Department,2019-08-30,2019-12-30,MT,1
Mannheim School District 83,2019-08-29,2019-09-19,MT,1
American Express,2019-08-28,2019-09-30,MT,2
Department of Commerce Federal Credit Union,2019-08-27,2020-03-06,MT,2
Capital One,2019-08-27,2020-02-06,MT,2
"City of Port Orange, Florida",2019-08-27,2020-01-10,MT,1
"Century 21 Department Stores, LLC",2019-08-27,2019-11-21,MT,3
The Stow Company,2019-08-25,2020-01-29,MT,1
"Paragon Marketing Group, LLC",2019-08-24,2019-10-03,MT,1
Silicon Valley Community Foundation,2019-08-23,2020-04-20,MT,1
Hilltop Health Services,2019-08-23,2019-12-13,MT,1
"NYR Organic, Inc.",2019-08-21,2020-03-05,MT,196
State Bank of Lizton,2019-08-21,2019-11-22,MT,1
Camrosa Water District,2019-08-20,2020-11-06,MT,4
Outreach Health Services,2019-08-19,2020-03-12,MT,2
Paul Quinn College,2019-08-16,2020-06-01,MT,3
Tennessee Orthopaedic Alliance,2019-08-16,2020-02-14,MT,4
Barnhill Contracting Company,2019-08-16,2020-02-03,MT,2
"Vimly Benefit Solutions, LLC.",2019-08-16,2019-12-19,MT,4
The Wolff Company,2019-08-15,2020-04-10,MT,4
"Relation Insurance, Inc.",2019-08-14,2020-02-10,MT,2
